IncidentJsApcBegin#0,"""/ci2 2 어이, 고전 중인 모양이군!<br>잠깐 도와주러 왔다!"""
IncidentJsApcSuccess#0,"""/ci2 1 좋아, 이걸로 끝이다!<br>괜한 참견이었을지도 모르지만<br>끝이 좋으면 다 좋은 법이지."""
IncidentJsApcFailure#0,"""이 정도로 당해 버리면<br>좀 버티기 힘들겠군...<br>미안하지만 먼저 귀환하겠다."""
IncidentJsApcBeginEvo#0,"""APC共闘発展開始(仮）"""
IncidentJsApcSuccessEvo#0,"""/ci2 1 좋아, 이걸로 끝이다!<br>괜한 참견이었을지도 모르지만<br>끝이 좋으면 다 좋은 법이지."""
IncidentJsApcBegin#1,"""/ci2 1 아, 마침 잘 왔어!<br>수가 너무 많아서 힘든데<br>좀 도와주지 않을래?"""
IncidentJsApcSuccess#1,"""/ci2 3 휴, 어떻게든 끝났네...<br>정말 고마워, 덕분에 살았어.<br>그럼 또 보자!"""
IncidentJsApcFailure#1,"""으으... 더는 무리야...<br>미안하지만 난 먼저<br>후퇴할게..."""
IncidentJsApcBeginEvo#1,"""/ci3 1 우왓... 위험해 보이는<br>반응이 아주 가까이에 있어...<br>조심하자!"""
IncidentJsApcSuccessEvo#1,"""/ci2 3 휴, 어떻게든 끝났네...<br>정말 고마워, 덕분에 살았어.<br>그럼 또 보자!"""
IncidentJsApcBegin#2,"""/toge /ci2 2 앗, 파트너!\u3000잘 왔어!<br>적이 엄청나게 많아!<br>잠깐만 도와줘!"""
IncidentJsApcSuccess#2,"""/ci2 1 후, 어떻게든 끝났네.<br>고마워, 파트너. 네 덕분에<br>어떻게든 해냈어."""
IncidentJsApcFailure#2,"""이, 이 이상은 힘들어...<br>미안, 파트너. 난 후퇴할게."""
IncidentJsApcBeginEvo#2,"""/toge /ci3 2 뭐, 뭐야!<br>엄청 거대한 적성 반응이야!?<br>파트너, 조심해!"""
IncidentJsApcSuccessEvo#2,"""/ci2 1 후, 어떻게든 끝났네.<br>고마워, 파트너. 네 덕분에<br>어떻게든 해냈어."""
IncidentJsApcBegin#3,"""/mn6 /ci2 2 저, 죄송해요.<br>여긴 적이 너무 많아요.<br>도와주시겠어요?"""
IncidentJsApcSuccess#3,"""/mn15 /ci2 1 해냈어요!\u3000해냈네요!<br>정말 감사합니다!<br>큰 도움이 됐어요!"""
IncidentJsApcFailure#3,"""/mn7 죄송해요... 전투 지속은<br>불가능해요. 먼저 후퇴할게요.<br>정말 죄송해요..."""
IncidentJsApcBeginEvo#3,"""/mn2 /ci2 2 우와앗, 엄청난 반응이에요!<br>아주 큰 적이<br>나타날 것 같아요!"""
IncidentJsApcSuccessEvo#3,"""/mn15 /ci2 1 해냈어요!\u3000해냈네요!<br>정말 감사합니다!<br>큰 도움이 됐어요!"""
IncidentJsApcBegin#4,"""/ci4 5 아, 자네로군.<br>괜찮다면 좀 도와주겠나?<br>수가 많아 번거롭군."""
IncidentJsApcSuccess#4,"""/ci2 1 좋아, 이걸로 끝이군.<br>좋은 데이터도 얻었어. 고맙네."""
IncidentJsApcFailure#4,"""미안하지만 난 후퇴하겠네.<br>여기서 무리해 봐야<br>아무 득도 없을 테니까."""
IncidentJsApcBeginEvo#4,"""/ci4 5 흠... 이 반응은 증원인가.<br>뭐, 조심해서 가 보세."""
