IncidentName#0,"""Destroy the Ignix trigger!"""
TrialBeginMsg#0,"""Defeat the ringleader<br>to stop the Ignix!"""
TrialAbstract#0,"""Defeat the ringleader<br>to stop the Ignix!"""
NpcComOnBegin#0,"""We're picking up a strange energy explosion! This is the Darkers' airborne suppression weapon, designated Ignix!"""
NpcComOnBegin1#0,"""The Ignix's radius grows over time, raising its threat level! Please, you have to move ASAP!"""
NpcComOnBegin2#0,"""There should be a hostile responsible for this somewhere around here. Defeat it, but watch out for explosions!"""
NpcComBossInfo#0,"""$(0)! That's the source of the disturbance! Take it out now!"""
NpcComOnSuccess#0,"""The Ignix's readings vanished when the hostile presence went dark. Thank you all."""
NpcComOnBegin#1,"""The Darkers' airborne suppression weapon, which we call Ignix, has been activated. Look sharp and get moving."""
NpcComOnBegin1#1,"""The thing about the Ignix is, its area of effect grows over time."""
NpcComOnBegin2#1,"""Whatever is behind this should be around somewhere. Seek and destroy."""
NpcComBossInfo#1,"""$(0). Looks like that's the culprit. Wipe it out immediately."""
NpcComOnSuccess#1,"""Hostile readings have disappeared along with the Ignix readings. Good, you may return to your regular duties."""
NpcComOnBegin#2,"""Ehh? An explosion!? Could this be the Ignix?"""
NpcComOnBegin1#2,"""It's a Darker weapon that'll cause explosions in the vicinity! It's super, hyper dangerous! Get away quickly!"""
NpcComOnBegin2#2,"""There's a bad, bad hostile causing this somewhere around here! Please find and defeat it!"""
NpcComBossInfo#2,"""Oh, $(0)! That's the source! It's all because of that! Please take it out completely as soon as possible!"""
NpcComOnSuccess#2,"""The Ignix went quiet at the same time the hostile readings vanished! Phew, that was good!"""
