IncidentName#0,"""Acaba con los enemigos dentro del tiempo limite"""
TrialBeginMsg#0,"""Acaba con los enemigos dentro del tiempo limite"""
TrialAbstract#0,"""Derrota $(0) [Imitacion Kuronites] dentro del tiempo limite!"""
NpcComOnBegin#0,"""Imitacion Kuronites se han<br>creado por Magatsu."""
NpcComOnBegin2#0,"""Se dirigen a la puerta grande para destruirla.<br>Todo el mundo, derrota a las Imitaciones de<br>Kuronites dentro del limite de tiempo."""
NpcComOnSuccess#0,"""Imitaciones de Kuronites derrotados.<br>Todo el mundo, por favor continue con su<br>batalla contra Magatsu."""
NpcComOnFailure#0,"""limite de tiempo excedido, hemos fallado.<br>Continua la batalla contra Magatsu<br>despues de derrotar a las Imitaciones de Kuronites."""
NpcComOnBegin#1,"""Imitacion Kuronites se han<br>creado por Magatsu."""
NpcComOnBegin2#1,"""Se dirigen a la puerta grande para destruirla.<br>Todo el mundo, derrota a las Imitaciones de<br>Kuronites dentro del limite de tiempo."""
NpcComOnSuccess#1,"""Imitaciones de Kuronites derrotados.<br>Todo el mundo, por favor continue con su<br>batalla contra Magatsu."""
NpcComOnFailure#1,"""limite de tiempo excedido, hemos fallado.<br>Continua la batalla contra Magatsu<br>despues de derrotar a las Imitaciones de Kuronites."""
NpcComOnBegin#2,"""Imitacion Kuronites se han<br>creado por Magatsu."""
NpcComOnBegin2#2,"""Se dirigen a la puerta grande para destruirla.<br>Todo el mundo, derrota a las Imitaciones de<br>Kuronites dentro del limite de tiempo."""
NpcComOnSuccess#2,"""Imitaciones de Kuronites derrotados.<br>Todo el mundo, por favor continue con su<br>batalla contra Magatsu."""
NpcComOnFailure#2,"""limite de tiempo excedido, hemos fallado.<br>Continua la batalla contra Magatsu<br>despues de derrotar a las Imitaciones de Kuronites."""
NpcComOnBegin#3,"""presencias enemigas alrededor de Magatsu.<br>Parecen ser las criaturas llamadas<br>\"" Imitacion Kuronites. \"""""
NpcComOnBegin2#3,"""Tienen la intencion de destruir la gran puerta.<br>Todo el mundo, <red>exterminar <black>las imitaciones enemigas<br><red>en el plazo limite<black>."""
NpcComOnSuccess#3,"""La exterminacion de \""Imitacion de<br>Kuronite\"" ha sido confirmada.<br>Continua deteniendo la invacion de Magatsu."""
NpcComOnFailure#3,"""/face4 Objetivo fallido.<br>por favor vuelve a enfocar a Magatsu<br>despues de exterminar a los enemigos restantes."""
