Emilia_01_10#0,"""おっ、どうしたんじゃ？<br>折り入って話があると？"""
Emilia_01_20#0,"""ふむ……素材加工の協力、か。<br>武具でないものを鍛えるのは<br>不慣れではあるが……"""
Emilia_01_30#0,"""他ならない、お主の依頼ならば<br>断るわけにはいかんの。<br>微力ながら、全力を尽くそう。"""
Paty_01_10#0,"""なんじゃ？<br>サンタクロースじゃと？"""
Paty_01_20#0,"""……名を聞いたことはあるが<br>どういった生業の者かは<br>詳しくないのう。"""
11_voice_NPC_5011_104#0,"""ほう、赤い服をまとい<br>空飛ぶソリに乗る……とな？<br>ふぅむ……"""
11_voice_NPC_5011_106#0,"""……ぬぬぬっ！？<br>何やらインスピレーションが<br>わいてきたぞ！"""
Paty_01_50#0,"""このアイディアを今すぐ形にしたい。<br>お主の訊ね事は調べておくので<br>すまんが、また今度にしてくれぬか。"""
11_voice_NPC_5011_104#1,"""...Oh? This is unexpected. While I was making weapons, were you making girls who fight in Halloween costumes?"""
sierra_020#0,"""I'm not sure why you're asking me about this. All I create is weapons. Well, if they have something in common..."""
sierra_030#0,"""Those that combine a beautiful appearance with superior abilities, they are jewels among jewels.<br>...Or so it's said."""
11_voice_NPC_5011_101#0,"""Hmm, weapons that look like women and can fight by themselves... I haven't felt inspiration like this in a long time! Hohohoho, you have my gratitude!"""
11_voice_NPC_5011_105#0,"""Sigh. It's no use. I can't think of anything. I guess my crafting days are over."""
11_voice_NPC_5011_104#2,"""Ten years ago it was a different story. I felt so alive in the face of crisis. It's not pleasant getting old. """
11_voice_NPC_5011_100#0,"""Do you think it's strange that I find inspiration in a simple object? Ha ha, you may be right."""
Jig_03_020#0,"""But you know that thrill you feel when you face a formidable foe? That's how I feel about weaponry."""
11_voice_NPC_5011_101#1,"""Repairs have never been my expertise, but it turns out to have its appeal. Perhaps I should say I like the challenge."""
11_voice_NPC_5011_100#1,"""You want to know about the weapons I've made in the past? There are too many to count, although I have no idea how many are still out there."""
Jig_05_020#0,"""I'm a craftsman, you see. Once I finish a piece, I move on to the next one. That's just how it is."""
11_voice_NPC_5011_105#1,"""If it wasn't for that war 10 years ago, I might still have fire in my belly."""
Jig_06_020#0,"""So many competent weapon wielders lost their lives in that conflict. That fight had terrible consequences. """
11_voice_NPC_5011_108#0,"""I don't know the story behind the war that was fought 10 years ago. I don't even think any ARKS members know much."""
Jig_07_020#0,"""That's partly because it's classified, but I think the main reason is people just don't want to remember."""
11_voice_NPC_5011_105#2,"""I'm not sure whether to be delighted or resentful that a maker of war weapons such as myself is valued so much here. It's difficult. """
11_voice_NPC_5011_101#2,"""Leave that weapon to me! On my honor as a craftsman, I'll fix it as good as new!"""
11_voice_NPC_5011_107#0,"""I sense this bad feeling so explicit, even I can feel it. What is about to happen...... """
