LogName#0,"""이머전시 트라이얼 정보"""
TrialSuccessMsg#0,"""이머전시 트라이얼 [$(0)] 성공!"""
TrialFailureMsg#0,"""이머전시 트라이얼 [$(0)] 실패!"""
TrialFailureMsg_PlayerAnnihilation#0,"""이머전시 트라이얼 [$(0)] 저지!"""
TrialCancelMsg#0,""" 이탈."""
TrialTargetKey#0,"""수집한 정보 열쇠"""
TrialTargetEnemy#0,"""쓰러뜨린 에너미"""
DirectionNorth#0,"""북쪽"""
DirectionEast#0,"""동쪽"""
DirectionSouth#0,"""남쪽"""
DirectionWest#0,"""서쪽"""
RemainingEnemyNumMsg#0,"""앞으로 $(0)마리!"""
EnemyEscapeMsg#0,"""$(0) 1마리가 도망쳤다!<br>앞으로 $(1)마리 도망치면 실패."""
EnemyEscapeLastMsg#0,"""데이터 회수에 필요한 수의 $(0)마리가 도망쳤다!"""
KeyTrialMsg#0,"""이 이머전시 트라이얼을 클리어 하면 퀘스트 클리어!"""
SubScorePointResult_Ok#0,"""엑스트라 미션 평가 : <c 32cdff>OK"""
SubScorePointResult_Nice#0,"""엑스트라 미션 평가 : <green>Nice"""
SubScorePointResult_Great#0,"""엑스트라 미션 평가 : <yellow>Great"""
SubScorePointResult_Excellent#0,"""엑스트라 미션 평가 : <c ffb370>Excellent"""
SubScorePointResult_Wonderfol#0,"""엑스트라 미션 평가 : <c ff6f70>Wonderful!"""
MultiEnemyName#0,"""적"""
MultiEnemyNameA#0,"""【더블】"""
MultiEnemyName_BossTA#0,"""펄스 앙겔, 펄스 휴날"""
PartnerEnemyName#0,"""공생 에너미"""
PantherName#0,"""팡 밴서"""
SnowPantherName#0,"""스노우 밴서"""
CollectGoodsNameA#0,"""곤충 화석"""
CollectGoodsNameB#0,"""계란형 물질"""
CollectGoodsNameC#0,"""희소 광물"""
NauraShopNameA#0,"""나우라 케이크 가게"""
BonusmapEnemyGenericName#0,"""희소 에너미"""
FCondNone#0,"""없음"""
FCondNoPlayerInArea#0,"""에어리어에서 참가자가 없을 경우"""
FCondTimeLimitOver#0,"""제한시간을 초과한 경우"""
FCondAllPlayerDied#0,"""참가자 전원 전투 불능이 되다"""
FCondNumPlayerDead#0,"""참가자가 $(0)회 전투불 능이 되다"""
FCondEnemybombOutbreak#0,"""베이제의 폭발"""
FCondNeoBurufuOutbreak#0,"""격파하지 못하고 제한시간 내에 $(0)회 이상 습격 당함"""
FCondDarkerLightningStruck#0,"""낙뢰에 $(0)회 맞으면 실패"""
FCondCapturePlayerDied#0,"""납치당한 플레이어가 전투 불능이 되다"""
FCondHelicopterDestroy#0,"""전투기가 파괴되다"""
FCondNumEnemyEscape#0,"""$(0)마리 이상 도망침"""
FCondCollectSample#0,"""일정 시간 내에 할당량을 달성하지 못한 경우"""
FCondPseDestroy#0,"""들뜬 결정이 2개 파괴된 경우"""
FCondNumApcDead#0,"""파트너가 2회 전투 불능이 되다"""
FCondSessionApcDead#0,"""모든 파트너가 전투 불능이 되다"""
FCondSessionApcEarthGuideDead#0,"""어스 가이드 전원이 전투 불능이 되다"""
FCondDwarfCaptorDead#0,"""길나스가 파괴되다"""
FCondDwarfDead#0,"""리리파족이 전투 불능이 되다"""
FCondDwarfUltCaptorDead#0,"""장치가 파괴되다"""
FCondGoodsDestroy#0,"""$(0)가 $(1)개 파괴된 경우"""
FCondStruckUmblla#0,"""Mr.앙브라를 두 번 공격한 경우"""
FCoundMissUmblla#0,"""Mr.앙브라가 공격을 5회 실수한 경우"""
FCondNauraGoodsDestroy#0,"""모든 상품이 파괴되었을 경우"""
FCondCaptureTryNum#0,"""포획장치를 사용할 수 없게 된 경우"""
FCondCaptureTargetDead#0,"""포획 대상이 사망했을 경우"""
FCondDwarfHomeDestroyed#0,"""모든 취락이 파괴된 경우"""
FCondBeachNauraSearch#0,"""나우라 장녀가 전투 불능이 된 경우"""
FCondUmincyuKiki1patu#0,"""원생 주민이 끌려가버린 경우"""
FCondSlimeVanish#0,"""일정 시간 내에 구하지 못한 경우"""
FCondPlayerAnnihilation#0,"""아크스 세력 전멸"""
FCondJsGiant#0,"""백의 주민이 전원 철수한 경우"""
FCoundEscapeJackBox#0,"""시간 내에 Mr.보완을 격파하지 못한 경우"""
FCoundMgeCapture#0,"""제한 내에 장치를 한 대도 쏠 수 없는 경우"""
FCoundMgeMeteor#0,"""운석을 일정 수 파괴하지 못한 경우"""
FCoundMgeAnnihilation#0,"""문의 내구도가 0이 된 경우"""
FCondDK#0,"""진・참철검에 의해 참가자가 전원 전투불능이 된 경우"""
ProgTimeLimit#0,"""제한 시간"""
ProgNumPlayerDead#0,"""참가자가 전투 불능이 된 횟수"""
