line01#0,"""4지선다 퀴즈, 시작!<br>(총 2문제)"""
name010#0,"""\\퀴즈 NPC"""
text010#0,"""\\퀴즈 장소가 개방됐네요!<br>그럼, <red>이 류커 디바이스는 어디일까요 퀴즈<c><br>시작합니다!"""
text020#0,"""\\그럼, 표시되는 이미지를 보고<br>류커 디바이스가 어디에 배치되어 있는지<br>맞혀 주세요! 짠!"""
text030#0,"""\\정답이라고 생각하는 발판으로 향해 주세요!<br><red>20초 후에 정답 발표<c>입니다!<br>카운트다운 스타트!"""
text040#0,"""타임 업!<br>정답은…"""
text050#0,"""\\이어서, 다음 문제입니다!<br>짠!"""
text060#0,"""\\그럼, 마지막 문제입니다!<br>짠!"""
text080#0,"""\\자, 이 류커 디바이스는 어디일까요 퀴즈는<br>여기까지입니다! 다음 퀴즈 장소로 이동합니다!"""
line02#0,"""정답이라고 생각하는 영역으로 향하라!<br>10초 후에 결과 발표다!"""
line03#0,"""타임 업!<br>정답은…"""
line04#0,"""다음 회장으로 이동합니다"""
quiz00_01#0,"""없음"""
quiz00_02#0,"""."""
quize_explanation#0,"""이 류커 디바이스는 어디일까요?"""
Title#0,"""이 류커 디바이스는 어디일까요?"""
quize_wait#0,"""모두가 이미지를 다 볼 때까지 기다립니다"""
quiz01#0,"""이 류커 디바이스는 어디일까요?"""
quize01_select1#0,"""A"""
quize01_select2#0,"""B"""
quize01_select3#0,"""C"""
quize01_select4#0,"""D"""
quize01_correct#0,"""정답은 A였습니다!<br>축하드립니다!<br>+1 포인트입니다!"""
quize01_incorrect#0,"""정답은 A였습니다!<br>아~ 아깝네요!!"""
