TrialName_1Enemy#0,"""$(0) Subjugation"""
TrialBeginMsg_1Enemy#0,"""Defeat the $(0)!"""
TrialAbstract_1Enemy#0,"""Defeat $(0)"""
TrialAbstract_1Enemy_SM_PSE#0,"""Defeat $(0)<br><yellow>※Upon success, your next<br>PSE Burst will undergo a Burst Change<c>"""
TrialName_Multi#0,"""Enemy Subjugation"""
TrialBeginMsg_Multi#0,"""Defeat the enemies!"""
TrialAbstract_Multi#0,"""Defeat the enemies"""
TrialAbstract_Multi_SM_PSE#0,"""Defeat the enemies<br><yellow>※Upon success, your next<br>PSE Burst will undergo a Burst Change<c>"""
NpcComOnBegin#0,"""A powerful enemy signal has been detected! Please neutralize it at once!"""
NpcComOnSuccess#0,"""Enemy neutralization confirmed! Thank you for your rapid response."""
NpcComOnFailure#0,"""The enemy presence has fled the area. The threat has subsided... for now, anyways."""
