name01#0,"""Hilda"""
cu_090010_0070#0,"""Very well.<br>Next, let's go over how to attack."""
cu_090010_0080#0,"""Now transferring simulated targets.<br>Attack them with your weapon."""
text00#0,"""Normal attacks"""
text100#0,"""Use normal attacks with <%NormalAttack>!"""
text1000#0,"""Use normal attacks with <%NormalAttack>!"""
text201#0,"""Destroy all simulated targets with normal attacks!"""
text202#0,"""Destroy all simulated targets with normal attacks!"""
text203#0,"""Normal attack: <%NormalAttack><br>※Hold or press repeatedly for continuous attacks"""
text204#0,"""Normal attack: <%NormalAttack><br>※Hold or press repeatedly for continuous attacks"""
text205#0,"""Normal attack: <%NormalAttack><br>※Hold the button to charge your attack"""
