Title#0,"""네가 태어난 그 이유"""
Explanation#0,"""이것은 과거와 현재와 미래를 잇는 사건.<br>단 하나의 목적을 가슴에 품고 끝없는 이야기를<br>더듬어 온 자에게 찾아온 하나의 결말이다.<br>영원히 반복되는 비극을 끝내기 위해<br>모두가 싸우고, 『두 사람』 역시 힘을 다한다.<br>그 목적은 단 하나.<br>그녀가 존재할 이유를 만들기 위해.<br>원초의 소원에 응답하기 위해.<br>――――――――――――――――――――<br>실패 조건/전투 불능 후, 리타이어를 선택"""
SimpleExplanation#0,"""？？？"""
Area0S#0,"""삼림 에어리어"""
Area0L#0,"""행성 나베리우스 삼림 에어리어"""
Area1S#0,"""괴세구역 유적 에어리어"""
Area1L#0,"""행성 나베리우스 괴세구역 유적 에어리어"""
Area2S#0,"""괴세구역 삼림 에어리어１"""
Area2L#0,"""행성 나베리우스 괴세구역 삼림 에어리어１"""
Area3S#0,"""괴세구역 삼림 에어리어２"""
Area3L#0,"""행성 나베리우스 괴세구역 삼림 에어리어２"""
Area4S#0,"""괴세구역 삼림 에어리어３"""
Area4L#0,"""행성 나베리우스 괴세구역 삼림 에어리어３"""
Area5S#0,"""괴세구역 유적 에어리어"""
Area5L#0,"""행성 나베리우스 괴세구역 유적 에어리어"""
