IncidentName#0,"""Defeat $(0)"""
TrialBeginMsg#0,"""Defeat $(0)!"""
TrialAbstract#0,"""Defeat $(0)"""
NpcComOnBegin#0,"""That's the true form of Dark Falz Apprentice... If it makes its way towards the city..."""
NpcComOnBegin2#0,"""You must stop it immediately! Defeat it here and now!"""
NpcComOnHpDecreased#0,"""Your attacks are working, keep going!"""
NpcComOnBossSkillAir#0,"""The target's energy readings are increasing!"""
NpcComOnGround0#0,"""The target's strength has been lowered!"""
NpcComOnGround1#0,"""The target's strength is waning!"""
NpcComOnBossSkill#0,"""The target's energy is rapidly increasing! Stop it before it gathers more energy!"""
NpcComOnSuccess#0,"""The target's energy has been destroyed! Great work!"""
NpcComOnBossSkillFail#0,"""A-are you alright?!"""
