name01#0,"""Xiera"""
text01#0,"""では、レスタについて<br>説明します！"""
text02#0,"""<red>レスタ<c>は光属性のテクニックで<br><red>近くにいる味方のＨＰを<br>回復<c>することができるんですよ。"""
text03#0,"""それでは、レスタで<br>ご自身とアフィンさんのＨＰを<br>回復してみましょう。"""
text101#0,"""Task 2: <yellow>Restore your partner's HP with Resta"""
train_title#0,"""Task 2: <yellow>Restore your partner's HP with Resta"""
tut_title#0,"""Resta"""
text100#0,"""・Restore HP by casting Resta with <%PhotonArts>"""
text100_3b#0,"""・Restore HP by casting Resta with <%PhotonArts>"""
tut_win_title#0,"""Resta"""
tut_win_text100#0,"""Resta is a Light-attribute Technique that recovers the HP of all allies within range.<br><br>The effect remains in place for a short time after the initial cast, and you can benefit from it by entering its area of effect as long as it is active.<br><br>In battle, casting Resta before you take damage can be useful."""
