name01#0,"""여학생A"""
name02#0,"""여학생B"""
un_042030_0001#0,"""A.D.2028/3/24"""
un_042030_0010#0,"""으음, 어라, 어라라?<br>이상하네……"""
un_042030_0020#0,"""이번 단편 정보 말인데요<br>영상화 부분에서 에러가 나서……<br>……영상 재현이 잘 되지 않았을지도 몰라요."""
un_042030_0030#0,"""원통해라……！<br>하지만 음성은 재현했으니<br>그것만이라도 듣고 확인해보죠."""
un_042030_0040#0,"""……응, 좋아.<br>히츠기 아무도 없어, 지금이야~."""
un_042030_0050#0,"""……자, 들어가자, 알."""
un_042030_0060#0,"""누, 누나~……<br>눈에 이거 빼줘.<br>아무것도 안 보여서 무서워."""
un_042030_0070#0,"""절대로 안돼.<br>빼면 때릴거야."""
un_042030_0080#0,"""저렇게 눈을 꽉 조이다니, 불쌍해라."""
un_042030_0090#0,"""딱히 나는 알이 봐도<br>신경 안 쓰는데~."""
un_042030_0100#0,"""시끄러워.<br>됐으니까 얼른 몸이나 씻어.<br>자, 알은 이쪽, 여기에 앉아."""
un_042030_0110#0,"""와앗!<br>누, 누나, 괴로워……!"""
un_042030_0120#0,"""힘든 건 잠깐이야, 참도록 해."""
un_042030_0130#0,"""와, 와, 왓!"""
un_042030_0140#0,"""꺅."""
un_042030_0150#0,"""응? 뭐야 이 말랑한 건……"""
un_042030_0160#0,"""앗, 잠깐, 알도 참……!"""
un_042030_0170#0,"""아!…… 안돼! 얼른 놔 알!<br>코오리도 좀 저항해라!"""
un_042030_0180#0,"""이런 곳에서 부끄러워…… 하지만……<br>알이 만지고 싶다면<br>난 그걸 받아들일 뿐이야!"""
un_042030_0190#0,"""바아보 아니야!"""
un_042030_0200#0,"""……누나.<br>아직 멀었어?"""
un_042030_0210#0,"""앗……!"""
un_042030_0220#0,"""……어, 어, 어, 어딜 만지는 거야!<br>바보! 바보알! 멈춰!"""
un_042030_0230#0,"""안 보여서 모르겠어~……<br>어딜 만진 거야, 나?<br>아까보다 작던데……"""
un_042030_0240#0,"""흥!"""
un_042030_0250#0,"""아얏!"""
un_042030_0260#0,"""어, 어째서 나까지……!"""
un_042030_0270#0,"""……자! 샤워는 끝!<br>욕조에 몸 담근 다음 얼른 나가자!"""
un_042030_0280#0,"""하아아…… 지친 몸에 뜨거운 물이 스며든다~……<br>요새 엄청 어깨가 결려서 말이야~……"""
un_042030_0290#0,"""그렇게 큰 걸 달고 다니면<br>그렇게 되겠지…… 흥!"""
un_042030_0300#0,"""크다고 좋을 거 별로 없어.<br>다들 힐끔힐끔 보기나 하지."""
un_042030_0310#0,"""흥, 가진 자가 못 가진 자의<br>고뇌를 알겠어."""
un_042030_0320#0,"""말은 그렇게 해도 히츠기도<br>평균 정도는 되잖아.<br>그 정도가 딱 좋다니까 분명히~."""
un_042030_0330#0,"""……키도 평균 정도가<br>됐으면 좋겠지만 말이야."""
un_042030_0340#0,"""크다던가 평균이라던가, 무슨 말이야?"""
un_042030_0350#0,"""……알이랑은 관계 없는 얘기."""
un_042030_0360#0,"""에에~!<br>나도 끼워줘! 끼워줘, 끼워줘!"""
un_042030_0370#0,"""아 진짜, 날뛰지마!<br>꺅, 그, 그러니까 만지지 말랬지! 알!"""
un_042030_0380#0,"""그러고보니 히츠기~.<br>봄방학 끝나면<br>알 목욕은 어떻게 할 거야?"""
un_042030_0390#0,"""사람 없는 시간을 기다리다보면<br>목욕 시간이 다 끝나버리겠지, 아마."""
un_042030_0400#0,"""……으, 그건."""
un_042030_0410#0,"""아아~, 알이 여자애였으면<br>아무런 문제도 없었을텐데~."""
un_042030_0420#0,"""……내가 여자애였으면<br>누나가 곤란하지 않게 돼?<br>그러면 나, 여자애 할래!"""
un_042030_0430#0,"""하고 싶다고 할 수 있는 게 아냐!"""
un_042030_0440#0,"""알, 여자애가 될 수는 없어도<br>한없이 비슷해질 수는……!"""
un_042030_0450#0,"""코오리는 입 다물어!"""
un_042030_0460#0,"""어라, 이렇게 이른 시간부터<br>누가 들어가있네, 왠일이래."""
un_042030_0470#0,"""쳇, 첫 욕조물 잘 써야지라고<br>생각했는데~."""
un_042030_0480#0,"""윽! 봄방학 부활동하는 애들이<br>벌써 온 거야!?<br>코, 코오리! 시간 좀 끌어봐!"""
un_042030_0490#0,"""시, 시간을 끌라니…… 어떻게!?"""
un_042030_0500#0,"""잠깐만 기다리게 하면 되니까!<br>그 동안 알을 어딘가에 숨길게!"""
un_042030_0510#0,"""……어어, <%me> 씨.<br>이 단편 정보에 대해선<br>저희 둘만의 비밀로 합시다."""
