favs_before_010#0,"""I would like you to have this."""
11_voice_NPC_5254_100#0,"""Neither the Commander nor the Intelligence Division put me up to this. This is a private thanks from me."""
favs_after_020#0,"""I'll continue to request your aid."""
favs_present_010#0,"""Received \""<%skit_text>\"" from Aika."""
favs_present_020#0,"""Received \""<%skit_text>\"" from Aika."""
favs_present_030#0,"""Received \""<%skit_text>\"" from Aika."""
favs_present_040#0,"""Received \""<%skit_text>\"" from Aika."""
favs_present_050#0,"""Received \""<%skit_text>\"" from Aika."""
favs_present_060#0,"""Received \""<%skit_text>\"" from Aika."""
favs_present_070#0,"""Received \""<%skit_text>\"" from Aika."""
favs_present_080#0,"""Received \""<%skit_text>\"" from Aika."""
favs_present_090#0,"""Received \""<%skit_text>\"" from Aika."""
favs_present_100#0,"""Received \""<%skit_text>\"" from Aika."""
favs_present_add_001#0,"""Received \""<%skit_text>\"" from Aika."""
skit01_010#0,"""You might be able to grab it still. It's a special gift."""
skit01_020#0,"""If you can get a Bonus Key from those special gifts, you can try a Bonus Quest."""
skit01_030#0,"""If you're able to, do try them when possible. That's how they're obtained."""
11_voice_NPC_5254_100#1,"""Earth is a special place for me. I hold precious memories during my time there."""
st01_020#0,"""In other words, it's like a second home to me. It's natural that I wish to protect it."""
11_voice_NPC_5254_104#0,"""I will say, however, that I was surprised by the Commander's information gathering skills."""
st01_020#1,"""The Commander knows how to conceal information. It's very... troublesome."""
11_voice_NPC_5254_104#1,"""私が言うのもなんだが<br>司令には全く隙がないと思う。"""
st01_020#2,"""隠しておきたいことも<br>司令は知っていたりするんだ。"""
st01_010#0,"""……私が地球に赴いていたのは<br>イツキやリナを監視し、守るため。"""
st01_020#3,"""そしてもう一つ。<br>かの組織の尻尾を探るためだ。"""
st01_030#0,"""もっとも、そちらについては<br>気配すら気取れなかったのだが……<br>今になってこうも堂々と出てくるとは。"""
st01_040#0,"""それだけの準備が整った……<br>ということなのかもしれないな。"""
st01_010#1,"""協力者――ヒツギのことについては<br>情報部の方でも報告を受けている。"""
st01_020#4,"""殺されたのではなく攫われたのならば<br>それはその人物の身柄を利用して<br>何かを成そうとしているのだろう。"""
st01_030#1,"""一番簡単な答えは人質、だろうが<br>可能性はそれだけではない。"""
st01_040#1,"""地球においての立ち回りでは<br>向こうに一日の長がある。<br>何にせよ、後手後手だな。"""
st01_010#2,"""綿密な調査のために、アークスシップが<br>こちら側の世界に来ていたのが<br>仇となってしまったようだ。"""
st01_020#5,"""敵の侵入経路は、セキュリティを<br>騙した上での、転移能力によるもの。<br>今はどちらも対策がされている。"""
st01_030#2,"""二度はない。と思いたいが<br>具現武装の力は、私達の想定を軽々と<br>越えていくからな。油断はできない。"""
11_voice_NPC_5254_104#2,"""エスカダーカー……<br>幻創種がダーカーを模したもの、か。"""
st01_020#6,"""かつて地球に出現してしまった<br>ダーカーの姿が、マザーの記録に<br>あったのだろう。その具現ともいえる。"""
st01_030#3,"""ことの発端はさておき<br>ダーカーの相手は、アークスの任務。<br>必ず、地球を守り通さねば。"""
st01_010#3,"""敵の敵は味方、ということもあるが<br>アースガイドに……否、アーデムに<br>利用されてしまった形だ。"""
st01_020#7,"""ダークファルスの事など、偶然の事象が<br>集った結果、彼は行動を起こした。<br>それはきっと止めようがない。"""
st01_030#4,"""重要なのは、これからだ。<br>これから我々がどう対処をするか。<br>全てはそれで決まる。"""
st01_010#4,"""情報部としても、地球の情勢は<br>落ち着いたと見ている。<br>一件落着、というヤツだな。"""
st01_020#8,"""……<%me>。<br>深く、感謝する。<br>地球のために尽力してくれたことを。"""
sq00_010#0,"""私は今回の作戦には参加しない。<br>バックアップ役として待機だ。"""
11_voice_NPC_5254_100#2,"""だが、成功を祈っている。<br>私だけでなく、アークスの皆が<br>そう祈っているはずだ。"""
sq01_010#0,"""司令から報告は聞いていたので<br>行方不明だったことも帰還したことも<br>すべて知っている。"""
sq01_020#0,"""だが、それでも言わせて欲しい。<br>よく帰ってきた、と。"""
sq01_030#0,"""私は昔から、帰還する者が最も優秀と<br>教わってきた。貴方はまさにそれだ。"""
sq02_010#0,"""情報部も、今は先日の作戦による<br>効果の測定を主として動いている。"""
