Title#0,"""Asesor de misiones"""
TitleCampship#0,"""Terminal de misiones"""
HelpNon#0,"""<c f0df60>Por favor, espere.<c>"""
HelpTopMenu#0,"""<c f0df60>Por favor selecciona una mision de la lista, o una mision a la cual quieras encontrar un grupo.<c>"""
HelpTypeSelect#0,"""<c f0df60>Por favor, seleccione una mision. el daily boost tiene un efecto como el Tri-Boost pero este se concedera hasta un 30%.<c>"""
HelpQuestSelect#0,"""<c f0df60> Seleccione la mision deseada.<c>"""
HelpQuestSelect_Vita#0,"""<c f0df60>受注したいクエストを選択してください。<c><c ff4f3f>クエストブースト中は<c><%MultiSelect><c><c ff4f3f>ボタンで詳細を確認できます。<c>"""
HelpQuestSelect_DailyOrder#0,"""<c f0df60>一部のおすすめクエストをAランク以上でクリアすると、「ボーナスキー」が低確率で入手可能です。<c>"""
HelpRankSelect#0,"""<c f0df60>Seleccione la dificultad deseada.<c>"""
HelpPartySelect#0,"""<c f0df60>Seleccione un grupo para unirse.<c>"""
HelpRecordSelect#0,"""<c f0df60>Puede comprobar los registros de esta Mision, tales como la tasa de aparicion de enemigo y elemento Raros.<c>"""
HelpOrderSelect#0,"""<c f0df60>受注したいクライアントオーダーを選択してください。<c>"""
HelpEpisodeSelect#0,"""<c f0df60>エピソードを選択してください。<c>"""
HelpBasnetGradeSelect#0,"""<c f0df60>参加したいグレードを選択してください。<c>"""
ReceiverPC#0,"""・“PC” ログイン証"""
ReceiverVITA#0,"""・“PS Vita” ログイン証"""
OtherBlock#0,"""Otros bloques"""
BoostRate#0,"""＋$(0)％"""
TitleNon#0,"""Error desconocido"""
AttentionNon#0,"""Error desconocido.<br><br>Codigo de error [3007]"""
TitleCancelQuest#0,"""-"""
AttentionCancelQuest#0,"""-"""
None#0,"""Error desconocido.<br><br>Codigo de error [3000]"""
NotReceptQuestPartyGuest#0,"""あなたはパーティーリーダーではないため<br>クエストを受注できません。"""
NotReceptQuestAlreadyQuest#0,"""あなたはパーティーリーダーではないため<br>クエストを受注できません。<br>（すでにクエストが始まっています。<br>出発ゲートに向かうことをおすすめします）"""
NotFoundQuestSearch#0,"""条件に当てはまるクエストが<br>見つかりませんでした。"""
NotFoundRoomSearch#0,"""条件に当てはまるルームが<br>見つかりませんでした。"""
NotFoundPartyList#0,"""No se encontraron grupos."""
NotFoundQuestType#0,"""No hay misiones que puedan aceptarse."""
NotFoundQuestList#0,"""No hay misiones que puedan aceptarse."""
NotFoundFreeFieldQuest#0,"""クエストが受注されていません。<br><br>クエストに出発するには、<br>先にクエストカウンターで<br>クエストを受注してください。"""
NotFoundQuestRecord#0,"""クエストレコードが存在しません。"""
CantStartQuestNotFoundRoom#0,"""対象ルームが見つからなかったため<br>クエストを開始できません。"""
CantStartQuestCapacityOverRoom#0,"""ルームの人数オーバーのため参加できません。"""
CantStartQuestCapacityOverRoom2#0,"""\u3000ルームの人数オーバーのため参加できません。<br>\u3000人数にはルームに参加予定のプレイヤーも含んでおり、<br>\u3000参加人数に反映されていない場合があります。<br>\u3000<br>\u3000<yellow>※参加予定の有効期限は1分ですので、<br>\u3000\u3000時間を置いて再度お試しいただくことで、<br>\u3000\u3000参加可能となる場合もあります。<c>"""
CantStartQuestNewRaidQuest#0,"""パーティーメンバーが<br>参加条件であるエネミーを倒していないため、<br>クエストを受注できません。"""
CantStartQuestNewNetCafeQuest#0,"""Could not start quest.<br>One or more party members do not have<br>NetCafe Premium."""
CantStartQuestNotNotFoundParty#0,"""対象パーティーが見つからなかったため、<br>クエストを開始できません。"""
CantStartQuestCapacityOverParty#0,"""パーティーの人数オーバーのため参加できません。"""
CantStartQuestDifferencePasswordParty#0,"""パスワードが間違っているため参加できません。"""
CantStartQuestAlreadyFinished#0,"""Could not join,<br>party's quest already complete."""
CantStartQuestClearCountLimit#0,"""One or more party members have<br>exceeded the quest clear limit<br>for this quest. Could not accept quest."""
CantStartQuestJustAfterRareEnemyTrigger#0,"""レアエネミートリガーを使用した直後は、<br>新たにクエストを受注することができません。<br>少々時間をおいてから、再度お試しください。<br><br>※新たにクエストを受注しますと、<br>\u3000トリガーアイテムを使用して受注したクエストが<br>\u3000破棄されますのでご注意ください。"""
CantStartQuestJustAfterQuestTrigger#0,"""クエストトリガーを使用した直後は、<br>新たにクエストを受注することができません。<br>少々時間をおいてから、再度お試しください。<br><br>※新たにクエストを受注しますと、<br>\u3000トリガーアイテムを使用して受注したクエストが<br>\u3000破棄されますのでご注意ください。"""
CantStartQuestTriggerErrorOccurred#0,"""A ocurrido un error.<br>No fue posible usar un Trigger de Mision,<br>por favor espere un momento e intente de nuevo."""
CantStartQuestTriggerErrorUseItem#0,"""No fue posible usar un Trigger de Mision,<br>por favor espere un momento e intente de nuevo."""
