ScratchMenue_Title#0,"""스크래치 뽑기"""
ScratchMenue_Help#0,"""대응하는 통화, 티켓으로 스크래치를 구매하고 경품을 받을 수 있습니다."""
ScratchChoice_Title#0,"""스크래치 선택"""
ScratchChoice_Possession#0,"""소지금"""
ScratchChoice__FreebieListButton#0,"""경품 리스트"""
ScratchChoice__PossessionTicket#0,"""소지 스크래치 티켓"""
ScratchChoice__PossessionTicketCount#0,"""$(0)장"""
ScratchChoice__StepUp1#0,"""1주차"""
ScratchChoice__StepUp2#0,"""2주차"""
ScratchChoice__StepUp3#0,"""3주차"""
ScratchChoice__BuyScratchAC#0,"""AC로 $(1)회 긁기<br>$(0)<pict 4space><pict ac_icon_22>"""
ScratchChoice__BuyScratchSG#0,"""SG로 $(1)회 긁기<br>$(0)<pict 4space><pict sg_icon_22>"""
ScratchChoice__BuyScratchNoCharge#0,"""무료로 $(0)회 긁기<br>매일 <utc>15:00</utc>에 리셋"""
ScratchChoice__CountBonus#0,"""앞으로 $(0)번 뽑으면 선물!"""
ScratchChoice__CouponButton#0,"""교환권 교환<br>$(0)"""
ScratchChoice__ScratchCategory_AC#0,"""AC 스크래치"""
ScratchChoice__ScratchCategory_SG#0,"""SG 스크래치"""
ScratchChoice__ScratchCategory_NoCharge#0,"""무료 스크래치"""
ScratchChoice__ScratchCategory_StepUp#0,"""스텝 업"""
ScratchChoice_ConfirmationAC#0,"""<pict Arcscash>AC 소비 컨텐츠<br>$(1)를 <br>$(0)AC로 구매합니다.<br>괜찮으시겠습니까?"""
ScratchChoice_ConfirmationSG#0,"""<pict StarGem>SG 소비 컨텐츠<br>$(1)를<br>$(0)SG로 구매합니다.<br>괜찮으시겠습니까?"""
ScratchChoice_ConfirmationNoCharge#0,"""$(0)를<br>한 번 무료로 뽑습니다.<br>※매일 <utc>15:00</utc>에 뽑을 수 있습니다.<br>괜찮으시겠습니까?"""
ScratchChoice_ConfirmationACre#0,"""<pict Arcscash>AC 소비 컨텐츠<br>계속해서 $(1)를<br>$(0)AC로 구매합니다.<br>괜찮으시겠습니까?"""
ScratchChoice_ConfirmationSGre#0,"""<pict StarGem>SG 소비 컨텐츠<br>계속해서 $(1)를<br>$(0)SG로 구매합니다.<br>괜찮으시겠습니까?"""
ScratchChoice_ConfirmationTicketRe#0,"""계속해서 $(3)를<br><pict $(0)>$(1)  $(2)장으로 구매합니다.<br>괜찮으시겠습니까?"""
ScratchChoice_ConfirmationNoChargeRe#0,"""계속해서 $(0)를<br>한 번 무료로 뽑습니다.<br>※매일 <utc>15:00</utc>에 뽑을 수 있습니다.<br>괜찮으시겠습니까?"""
ScratchResult_Title#0,"""스크래치 결과"""
ScratchResult_Explanation#0,"""아래의 경품이 당첨됐습니다!<br>「스크래치 창고」에서 받으시면 됩니다.<br><yellow>※수령에 유효기간이 있으니<br> 주의해 세요.<c>"""
ScratchResult_UseTicket_Title#0,"""티켓 사용 확인"""
ScratchResult_UseTicket_Mess#0,"""선택한 아이템을 사용합니다.<br>괜찮으시겠습니까?"""
ScratchResult_UseTicket_Mess_NoUse#0,"""아래의 티켓 아이템을 사용할 수 있습니다.<br>이대로 사용하시겠습니까?<br><br>※목록에서 선택하여 하나씩 사용할 수도 있습니다."""
ScratchResult_1UseTicket_Mess#0,"""$(0)를 사용하실 수 있습니다.<br>이대로 사용하시겠습니까?"""
ScratchResult_UseTicket_AllUse#0,"""전부 사용하기"""
ScratchResult_AllUseTicket_Title#0,"""티켓 사용 확인"""
ScratchResult_AllUseTicket_Mess#0,"""사용 가능한 티켓 아이템을 모두 사용합니다.<br>괜찮으시겠습니까?"""
ScratchError_StorageMax_Title#0,"""スクラッチ倉庫容量不足"""
ScratchError_StorageMax_Mess#0,"""スクラッチ倉庫の容量がいっぱいのため<br>スクラッチを購入できません。<br><br>スクラッチ倉庫から景品を受け取ってから<br>再度購入してください。"""
ScratchError_AC_Shortage_Title#0,"""AC 부족"""
ScratchError_AC_Shortage_Mess#0,"""AC가 부족하여<br>구매할 수 없습니다.<br><br>AC를 구매하시겠습니까?"""
ScratchError_SG_Shortage_Title#0,"""SG 부족"""
ScratchError_SG_Shortage_Mess#0,"""SG가 부족하여<br>구매할 수 없습니다.<br><br>SG를 구매하시겠습니까?"""
ScratchError_Ticket_Shortage_Title#0,"""소지 티켓 부족"""
ScratchError_Ticket_Shortage_Mess#0,"""<$item_name><br>아이템이 부족해<br>구매할 수 없습니다."""
ScratchPrizeList_Title#0,"""경품 리스트"""
ScratchPrizeList_PrizeItem#0,"""경품 아이템"""
ScratchPrizeList_EmissionRate#0,"""뽑을 확률"""
Bonus_Title#0,"""회차 보너스 확인"""
Bonus_Text01#0,"""이 스크레치를 뽑은 횟수"""
Bonus_Text02#0,"""<$Count>회"""
Bonus_Text03#0,"""모두 획득하면 획득 현황이 리셋되며<br>또한 회차 보너스를 받을 수 있습니다."""
PrizeChange_Check_Title#0,"""교환권 소비 확인"""
PrizeChange_Check_Mess01#0,"""$(2)×1<br> 아이템을 $(0) 아이템으로 교환합니다.<br>괜찮으시겠습니까?<br>※아래의 아이템 외에는 소비되지 않습니다.<br><br>(소지 교환 티켓: $(1)장)"""
PrizeChange_Check_Complete#0,"""경품과 교환을 완료 했습니다."""
PrizeChange_Check_Error#0,"""아이템 팩의 공간 부족<br>또는 소지 수의 한계를 초기했기 때문에<br>교환하지 못했습니다."""
PrizeChange_Check_Error02#0,"""현재 선택하신 스크래치는 구매할 수 없습니다.<br>자세한 내용은 플레이어즈 사이트를 확인해 주십시오."""
EmissionParcent#0,"""$(0)%"""
ScratchLabelBonus#0,"""보너스"""
ScratchLabelStage1#0,"""1바퀴"""
ScratchLabelStage2#0,"""2바퀴 이후"""
AllUse#0,"""전부 사용하기"""
Title_scratch#0,"""획득 아이템 목록"""
Title_useitem#0,"""아이템 사용"""
scratch_message#0,"""아래의 경품이 당첨됐습니다!"""
bonus_message#0,"""「1바퀴」의 보수를 모두 획득하면 「2바퀴 이후」로 넘어갑니다.<br>「2바퀴 이후」는 반복 보상을 획득할 수 있습니다."""
useitem_message#0,"""사용 가능한 획득 티켓 아이템을 모두 사용하시겠습니까?<br>아이템을 선택해 하나씩 사용할 수 있습니다.<br><yellow>※창고에 보낸 아이템은 표시되지 않습니다.<c>"""
Tags01#0,"""추천!"""
Tags02#0,"""인기!"""
Tags03#0,"""보너스!"""
