Ship01#0,"""<br>Ship01:페오"""
Ship02#0,"""<br>Ship02:우르"""
Ship03#0,"""<br>Ship03:손"""
Ship04#0,"""<br>Ship04:안스르"""
Ship05#0,"""<br>Ship05:라구즈"""
Ship06#0,"""<br>Ship06:켄"""
Ship07#0,"""<br>Ship07:교흐"""
Ship08#0,"""<br>Ship08:윈"""
Ship09#0,"""<br>Ship09:하갈"""
Ship10#0,"""<br>Ship10:나우시즈"""
Self01_01#0,"""Self01_01"""
Self01_02#0,"""Self01_02"""
Self02_01#0,"""Self02_01"""
Self02_02#0,"""Self02_02"""
Ship01#1,"""Ship01"""
Ship02#1,"""Ship02"""
YesText#0,"""네"""
NoText#0,"""아니오"""
CloseText#0,"""뒤로 가기"""
OpenText#0,"""열기"""
MaxText#0,"""최대화"""
MinText#0,"""최소화"""
Sort#0,"""정렬"""
