moralskeeper_Title#0,"""플레이어 신고하기"""
moralskeeper_menu_playername#0,"""신고할 캐릭터 이름/플레이어 ID 네임"""
moralskeeper_menu_category#0,"""신고 카테고리\u3000<red>※필수<c>"""
moralskeeper_menu_comment#0,"""코멘트"""
moralskeeper_category_default#0,"""신고 카테고리를 선택해주세요"""
moralskeeper_category_leave#0,"""방치 행위"""
moralskeeper_category_disturb#0,"""방해 행위"""
moralskeeper_category_harassment#0,"""학대 행위"""
moralskeeper_category_cheat#0,"""치트 행위"""
moralskeeper_category_AntiPublic#0,"""公序良俗に反する行為"""
moralskeeper_category_Infringement#0,"""権利侵害"""
moralskeeper_category_HumanRightsViolations#0,"""人権侵害"""
moralskeeper_category_HumanRightsDiscrimination#0,"""人種差別"""
moralskeeper_category_etcetera#0,"""기타"""
moralskeeper_comment_default#0,"""<c c0c0c0>신고 내용을 기입해 주세요 (일본어로만)<c>"""
moralskeeper_button_transmit#0,"""송신"""
moralskeeper_button_cancel#0,"""취소"""
moralskeeper_message#0,"""신고해 주셔서 감사합니다."""
moralskeeper_confirm_title#0,"""내용 확인"""
moralskeeper_confirm_message#0,"""아래의 내용으로 신고합니다.<br>괜찮으시겠습니까?"""
moralskeeper_confirm_playername#0,"""신고할 캐릭터 이름/플레이어 ID 네임"""
moralskeeper_confirm_category#0,"""신고 카테고리"""
moralskeeper_confirm_comment#0,"""코멘트"""
moralskeeper_confirm_nocomment#0,"""코멘트 없음"""
moralskeeper_confirm_transmit#0,"""송신"""
moralskeeper_confirm_cancel#0,"""취소"""
moralskeeper_precautionary_statement#0,"""이용약관을 위반한 플레이어를 발견한 경우<br>신고 부탁드립니다.<br>본 기능의 악용이 확인되었을 경우 계정의<br>이용 정지 조치를 할 가능성이 있습니다."""
moralskeeper_precautionary_statement_CSpace#0,"""利用規約に違反したクリエイティブスペースを<br>発見した際には報告をお願いいたします。<br>本機能の悪用が確認された場合、アカウントの<br>利用停止措置を行う可能性があります。"""
moralskeeper_CreativeSpace#0,"""Ｃスペースを報告する"""
moralskeeper_Blueprint#0,"""この設計図を報告する"""
moralskeeper_ReportGuideText_CreativeSpace#0,"""Ｃスペースを報告する"""
moralskeeper_ReportGuideText_Blueprint#0,"""設計図を報告する"""
moralskeeper_menu_CreativeSpace#0,"""Ｃスペース名/Ｃスペース番号"""
moralskeeper_menu_CreativeSpace_Confirm#0,"""報告するＣスペース名/プレイヤーIDネーム"""
moralskeeper_menu_Blueprint#0,"""報告する設計図名"""
