moralskeeper_Title#0,"""플레이어 신고하기"""
moralskeeper_menu_playername#0,"""신고할 캐릭터 이름/플레이어 ID 네임"""
moralskeeper_menu_category#0,"""신고 카테고리\u3000<red>※필수<c>"""
moralskeeper_menu_comment#0,"""코멘트"""
moralskeeper_category_default#0,"""신고 카테고리를 선택해 주세요"""
moralskeeper_category_leave#0,"""방치 행위"""
moralskeeper_category_disturb#0,"""방해 행위"""
moralskeeper_category_harassment#0,"""괴롭힘 행위"""
moralskeeper_category_cheat#0,"""치트 행위"""
moralskeeper_category_etcetera#0,"""기타"""
moralskeeper_comment_default#0,"""<c c0c0c0>보고 내용을 기입해 주세요 (일본어만 가능)<c>"""
moralskeeper_button_transmit#0,"""전송"""
moralskeeper_button_cancel#0,"""취소"""
moralskeeper_message#0,"""보고해 주셔서 감사합니다."""
moralskeeper_confirm_title#0,"""내용 확인"""
moralskeeper_confirm_message#0,"""아래 내용으로 보고드립니다.<br>정말 괜찮으시겠습니까?"""
moralskeeper_confirm_playername#0,"""신고할 캐릭터 이름/플레이어 ID 네임"""
moralskeeper_confirm_category#0,"""신고 카테고리"""
moralskeeper_confirm_comment#0,"""코멘트"""
moralskeeper_confirm_nocomment#0,"""코멘트가 없습니다."""
moralskeeper_confirm_transmit#0,"""전송"""
moralskeeper_confirm_cancel#0,"""취소"""
moralskeeper_precautionary_statement#0,"""이용약관을 위반한 플레이어를 발견한 경우<br>신고를 부탁드립니다.<br>본 기능의 악용이 확인되었을 경우 어카운트의<br>이용 정지 조치를 할 수 있습니다."""
