moralskeeper_Title#0,"""プレイヤーを報告する"""
moralskeeper_menu_playername#0,"""報告するキャラクター名・プレイヤーIDネーム"""
moralskeeper_menu_category#0,"""報告カテゴリ\u3000<red>※必須<c>"""
moralskeeper_menu_comment#0,"""코멘트"""
moralskeeper_category_default#0,"""報告カテゴリを選択してください"""
moralskeeper_category_leave#0,"""放置行為"""
moralskeeper_category_disturb#0,"""妨害行為"""
moralskeeper_category_harassment#0,"""ハラスメント行為"""
moralskeeper_category_cheat#0,"""チート行為"""
moralskeeper_category_etcetera#0,"""その他"""
moralskeeper_comment_default#0,"""<c c0c0c0>報告内容を記入してください<c>"""
moralskeeper_button_transmit#0,"""送信"""
moralskeeper_button_cancel#0,"""キャンセル"""
moralskeeper_message#0,"""ご報告ありがとうございます。"""
moralskeeper_confirm_title#0,"""内容確認"""
moralskeeper_confirm_message#0,"""下記の内容で報告します。<br>정말 괜찮으시겠습니까?"""
moralskeeper_confirm_playername#0,"""報告するキャラクター名・プレイヤーIDネーム"""
moralskeeper_confirm_category#0,"""報告カテゴリ"""
moralskeeper_confirm_comment#0,"""코멘트"""
moralskeeper_confirm_nocomment#0,"""코멘트はありません。"""
moralskeeper_confirm_transmit#0,"""送信"""
moralskeeper_confirm_cancel#0,"""キャンセル"""
moralskeeper_precautionary_statement#0,"""利用規約に違反したプレイヤーを発見した場合<br>報告をお願いいたします。<br>本機能の悪用が確認された場合、アカウントの<br>利用정지措置を行う可能性があります。"""
