Coin#0,"""소지 카지노 코인"""
TitleCongest#0,"""카지노 에어리어 혼잡 상황"""
Congest_Name_SlotRappy#0,"""랍피 슬롯"""
Congest_Name_Shooter#0,"""메세탄 슈터"""
Congest_Name_SlotArkuma#0,"""아쿠마 슬롯"""
Congest_Name_Roulette#0,"""리리 룰렛"""
Congest_Name_Blackjack#0,"""블랙냑"""
Congest_Empty#0,"""비어있음"""
Congest_Full#0,"""꽉 참"""
Congest_Over#0,"""혼잡"""
Congest_Loading#0,"""로딩중"""
Congest_Failure#0,"""불명"""
ContentInfo#0,"""콘텐츠 정보"""
ContentInfo_Nothing#0,"""없음"""
ContentMenu_None#0,"""통신중…"""
WindowTitle#0,"""메세지"""
ComeInMessage#0,"""맡겨두었던 카지노 코인을 되찾았습니다."""
ComeInMessage2#0,"""현재$(0)<pict AmusementCoin>소지하고 있습니다."""
ComeOutMessage#0,"""소지한 카지노 코인을 맡겼습니다。"""
ComeOutWarning#0,"""카지노 코인 소지 상한량을 초과했습니다。경품으로 교환하거나 AC샵에서 상한량을 확장해주세요."""
ComeOutBetsCancel#0,"""배팅을 취소했습니다。"""
PossessNum#0,"""현재 소지수"""
Back#0,"""돌아간다"""
Message#0,"""메세지"""
Yes#0,"""네"""
No#0,"""아니요"""
Close#0,"""닫는다"""
Decide#0,"""결정"""
Cancel#0,"""취소"""
BigHitShooter#0,"""$(0)님께서 메세탄 슈터로 대박을 터뜨리셨습니다!"""
BigHitSlotRappy#0,"""$(0)님께서 랍피 슬롯으로 대박을 터뜨리셨습니다!"""
BigHitSlotRappyJP#0,"""$(0)님께서 랍피 슬롯으로 잭팟을 달성하셨습니다!"""
BigHitCard#0,"""$(0)님께서 블랙냑으로 대박을 터뜨리셨습니다!"""
BigHitRoulette#0,"""$(0)님께서 리리 룰렛으로 대박을 터뜨리셨습니다!"""
BigHitSlotArkuma#0,"""$(0)님께서 아쿠마 슬롯으로 대박을 터뜨리셨습니다!"""
BoostCampaignTitle#0,"""부스트 캠페인 정보"""
SuperBoostCampaignTitle#0,"""슈퍼 부스트 캠페인 정보"""
ContentsProhibitMessage#0,"""이 콘텐츠는 현재 사용하실 수 없습니다."""
PrizeExchangeTitleMenu#0,"""샵 메뉴"""
PrizeExchangeInfo#0,"""경품교환소 정보"""
PrizeExchangeNo#0,"""교환 횟수"""
PrizeExchangeNoInfo#0,"""<utcdow>수요일 4:00</utcdow>에 리셋"""
PrizeExchangeNoInfoVITA#0,"""교환 횟수(수요일 13시 리셋)"""
PrizeExchangeTitle#0,"""경품 교환 카운터"""
PrizeExchangeHead#0,"""<c f0df60>코인으로 경품을 교환할 수 있습니다.<c>"""
PrizeExchangeHead_1#0,"""<c f0df60>코인을 교환 횟수 제한이 없는 경품과 교환할 수 있습니다.<c>"""
PrizeExchangeHead_2#0,"""<c f0df60>코인을 교환 횟수 제한이 있는 경품과 교환할 수 있습니다.<c>"""
PrizeExchangeHeadExit#0,"""<c f0df60>경품 교환 카운터에서 나갑니다.<c>"""
PrizeExchangeHeadSelect_1#0,"""<c f0df60>코인을 소모하여 경품으로 교환할 수 있습니다. 교환할 경품을 선택해주세요.<c>"""
PrizeExchangeHeadSelect_2#0,"""<c f0df60>교환하실 경품을 선택해주세요(교환량은 주간 제한이 있으며 매주 <utcdow>수요일 4:00</utcdow>에 리셋됩니다).<c>"""
PrizeExchangeContents#0,"""경품교환 카운터 메뉴"""
PrizeExchangeMenu_1#0,"""일반경품 교환"""
PrizeExchangeMenu_2#0,"""한정경품 교환"""
PrizeExchangeMenuExit#0,"""카운터에서 나간다"""
PrizeExchangeList#0,"""경품 리스트"""
PrizeExchangeTotalCoin#0,"""합계 매수"""
PrizeExchangeItemPack#0,"""아이템 팩"""
PrizeExchangeExchange#0,"""교환"""
PrizeExchangeSort#0,"""표준 정렬"""
PrizeExchangeDetails#0,"""아이템 상세"""
PrizeExchangeRadioButton#0,"""장비 가능만"""
simpleinput#0,"""<pict Sign_SQUARE>간이 입력"""
PrizeExchangeCoin#0,"""$(0)<pict AmusementCoin>"""
PrizeExchangeCoinRed#0,"""<red>$(0)<c><pict AmusementCoin>"""
ExchangeCheckTitle#0,"""교환 확인"""
ExchangeCheckMessage#0,"""아래 아이템을 $(0)<pict AmusementCoin>에 교환합니다.<br>그렇게 하시겠습니까?<br>"""
ExchangeLimitCheckMessage#0,"""아래 아이템을 $(0)<pict AmusementCoin>에 교환합니다.<br>그렇게 하시겠습니까?<br>(교환 횟수는 매주 <utcdow>수요일 4:00</utcdow>에 리셋)"""
PreExchangeLimitMessage#0,"""최대 교환 횟수를 초과했습니다.<br>날짜를 확인하고 다시 방문해주세요.<br>(교환 횟수는 매주<utcdow>수요일 4:00</utcdow>에 리셋)"""
ExchangeLimitMessage#0,"""최대 교환 횟수 초과로<br>교환에 실패했습니다."""
ExchangeCancelTitle#0,"""교환 취소 확인"""
ExchangeCancelMessage#0,"""교환을 취소합니다.<br>그렇게 하시겠습니까?"""
ExchangeCoinInsufficient#0,"""카지노 코인이 부족합니다."""
ExchangeResultTitle#0,"""아이템 교환"""
ExchangeResultMessage1#0,"""아이템을 교환했습니다."""
ExchangeResultMessage2#0,"""아이템팩의 여유공간 부족<br>또는 소지수 한계 초과로<br>교환이 불가능합니다."""
ExchangeDBAccessMessage#0,"""서버가 혼잡하여<br>경품 교환이 불가능합니다."""
LimitedItem#0,"""<yellow>한정<c>"""
LimitedItemTitle1#0,"""<yellow>교환 가능수<c>"""
