Title#0,"""옵션"""
Category_Game#0,"""게임 설정"""
Category_Game_Hint#0,"""게임 플레이에 관련된 기능이나<br>카메라 조작등의 설정을 합니다."""
Category_Device#0,"""조작 설정"""
Category_Device_Hint#0,"""키보드,마우스,<%GamePad>같은<br>입력기기에 관련된 설정을 합니다."""
Category_Sound#0,"""음성 설정"""
Category_Sound_Hint#0,"""음성에 관련된 설정을 합니다."""
Category_Graphics#0,"""품질 설정"""
Category_Graphics_Hint#0,"""품질 그래픽에 대한 설정을 합니다."""
SubCategory_GameFunction#0,"""기능 설정"""
SubCategory_GameFunction_Hint#0,"""게임 기능에 대한 설정을 합니다."""
SubCategory_Camera#0,"""카메라 설정"""
SubCategory_Camera_VITA#0,"""게임 내 카메라 설정"""
SubCategory_Camera_Hint#0,"""카메라의 움직임에 대한 설정을 합니다."""
SubCategory_TextEffect#0,"""텍스트 연출 설정"""
SubCategory_TextEffect_Hint#0,"""데미지나 아이템 획득 표시같은<br>텍스트 연출에 관련된 설정을 합니다."""
SubCategory_Notice#0,"""알림 설정"""
SubCategory_Notice_Hint#0,"""게임내의 각종 통지에 대한 설정을 합니다."""
SubCategory_Talk#0,"""채팅 설정"""
SubCategory_Talk_Hint#0,"""채팅 시스템에 관련된 설정을 합니다."""
SubCategory_Capture#0,"""촬영 설정"""
SubCategory_Capture_Hint#0,"""스크린샷에 관련된 설정을 합니다."""
SubCategory_Other#0,"""그외 설정"""
SubCategory_Other_Hint#0,"""에스테,라이드로이드,다크블래스트<br>같은 시스템에 관련된 설정을 합니다."""
SubCategory_InputGuide#0,"""조작 가이드 표시 타입"""
SubCategory_InputGuide_Hint#0,"""게임내에 표시되는 조작가이드의<br>표시 타입을 설정합니다."""
SubCategory_PadDefine#0,"""게임패드 초기 설정"""
SubCategory_PadDefine_Hint#0,"""게임 패드에 관련된 설정을 합니다."""
SubCategory_KeyBind_Pad#0,"""기능 할당（<%GamePad>）"""
SubCategory_KeyBind_Pad_Hint#0,"""<%GamePad>의 입력을<br>어떤 기능에 할당할지 설정합니다."""
SubCategory_KeyBind_Mouse#0,"""기능 할당 (마우스)"""
SubCategory_KeyBind_Mouse_Hint#0,"""마우스의 입력을<br>어떤 기능에 할당할지 설정합니다."""
SubCategory_KeyBind_Keyboard#0,"""기능 할당 (키보드)"""
SubCategory_KeyBind_Keyboard_Hint#0,"""키보드의 입력을 <br> 어떤 기능에 할당할지 설정합니다."""
SubCategory_MainInputDevice#0,"""자주 사용하는 조작기기"""
SubCategory_MainInputDevice_Hint#0,"""자주 사용하는 조작기기를 선택합니다."""
SubCategory_ActionType#0,"""액션 타입 선택"""
SubCategory_ActionType_Hint#0,"""액션 타입을 선택합니다."" "
SubCategory_SoundVolume#0,"""음량"""
SubCategory_SoundVolume_Hint#0,"""BGM과 SE 등의 음량을 설정합니다."""
SubCategory_SoundFunction#0,"""재생 기능"""
SubCategory_SoundFunction_Hint#0,"""음성 재생과 관련된 기능을 설정합니다."""
SubCategory_GraphicsFunction#0,"""품질 기능"""
SubCategory_GraphicsFunction_Hint#0,"""품질에 관련된 기능을 설정합니다."""
SubCategory_GraphicsQuality#0,"""표시 품질"" "
SubCategory_GraphicsQuality_Hint#0,"""표시 품질에 대한 설정을 합니다."" "
SubCategory_FilterView#0,"""화면 필터<pict Arcscash>"""
SubCategory_FilterView_Hint#0,"""화면 필터의 설정을 합니다."" "
SubCategory_ResetWindow#0,"""윈도우 초기화"""
SubCategory_ResetWindow_Hint#0,"""모든 윈도우의 표시 위치나 표시 사이즈를 초기화합니다."""
MenuTreeBasic#0,"""기본 설정"" "
MenuTreeDirection#0,"""연출 설정"""
MenuTreeDraw#0,"""품질 설정"""
MenuTreeSound#0,"""음성 설정"" "
MenuTreeControl#0,"""조작 설정"" "
MenuTreeCommunication#0,"""커뮤니케이션"""
MenuTreeSystem#0,"""시스템"""
MenuButtonBasic#0,"""기본 설정"" "
MenuButtonNotice#0,"""알림 설정"""
MenuButtonCamera#0,"""카메라 설정"""
MenuButtonCamera_v#0,"""게임 내 카메라 설정"""
MenuButtonShoot#0,"""촬영 설정"" "
MenuButtonChat#0,"""챗 설정"" "
MenuButtonDirection#0,"""연출 설정"" "
MenuButtonDrawFunction#0,"""품질 기능"" "
MenuButtonDrawFilter#0,"""화면 필터<pict Arcscash>"""
MenuButtonDrawShadow#0,"""그림자 설정"""
MenuButtonDrawDisplay#0,"""표시 설정"" "
MenuButtonSound#0,"""음성 설정"""
MenuButtonOperationType#0,"""자주 사용하는 조작기기"" "
MenuButtonActionType#0,"""액션 타입 선택"""
MenuButtonSndVolume#0,"""음량"""
MenuButtonSndPlay#0,"""재생 설정"""
MenuButtonCtrl#0,"""조작 설정"""
