Title#0,"""구입메뉴"""
Caption1#0,"""상품명"""
Caption2#0,"""진열 기한"""
Caption3#0,"""가격"""
PopupItem1#0,"""$(1)$(0)로 스크래치 긁기"""
PopupItem2_1#0,"""AC 스크래치권으로 뽑기 (소지 수:$(0))"""
PopupItem2_2#0,"""AC 스크래치 골드권으로 뽑기(소지 수:$(0))"""
PopupItem2_3#0,"""스크래치권으로 뽑을 수 없습니다."""
PopupItem2_4#0,"""AC 스크래치 플래티넘권으로 긁기(소지 수:$(0))"""
PopupItem3#0,"""경품 리스트"""
PopupItem4_1#0,"""-"""
PopupItem4_2#0,"""-"""
PopupItem1_2#0,"""$(2)$(0)로 스크래치 $(1)회 긁기"""
PopupItem2_5#0,"""AC 스크래치권으로$(0)회 긁기(소지 수:$(1))"""
PopupItem2_6#0,"""AC 스크래치 골드권으로$(0)회 긁기(소지 수:$(1))"""
PopupItem5#0,"""회차 보너스 확인"""
PopupItem6#0,"""스크래치 정보를 Web에서 확인하기"""
PopupItem7#0,"""교환권과 경품을 교환하기(소지 수:$(0))"""
PopupItem8#0,"""입어보기"""
EmissionProbability_Message#0,"""ー"""
EmissionProbability_Item#0,"""ー"""
EmissionProbability#0,"""-"""
EmissionParcent#0,"""-"""
Title#1,"""경품 리스트"""
Title#2,"""-"""
Caption1#1,"""-"""
Caption2#1,"""-"""
Caption3#1,"""-"""
Title#3,"""상품 정보"""
Hotitem_Caption#0,"""추천 경품"""
GachaBonusCaption#0,"""횟수 보너스"""
GachaBonusNext#0,"""이 스크래치를 <yellow>$(0)회<c>돌리는 것으로 프레젠트!"""
GachaBonusComment#0,"""$(0) など豪華$(1)点セット！"""
GachaBonusCommentNothing#0,"""이 스크래치는 횟수 보너스가 없습니다."""
GachaBonusCommentAchieved#0,"""이 스크래치의 횟수 보너스는 이미 획득했습니다."""
CheckProbability_Title#0,"""스크래치 정보 확인"""
CheckProbability_Message#0,"""스크래치 정보를 확인하기 위해서<br>브라우저에서 아래의 URL을 엽니다.<br><&URL pso2_players_catalog_scratch>"""
CheckProbability_Message_v#0,"""스크래치 정보를 확인하기 위해서<br>브라우저에서 아래의 URL을 엽니다.<br><&URL pso2_players_catalog_scratch><br><red>※애플리케이션을 종료하고<br>브라우저를 엽니다.<c>"""
CheckProbability_Url#0,"""http://pso2.jp/players/catalog/scratch/"""
Title#4,"""회차 보너스 확인"""
CounterCaption#0,"""스크래치를 긁은 횟수"""
CounterNum#0,"""$(0)회"""
Achieved#0,"""달성!"""
NextMore#0,"""앞으로 $(0)회"""
NextMoreMulti#0,"""<space>"""
NextMoreEvery#0,"""앞으로 $(0)회"""
Detail_Exp#0,"""경험치 $(0)"""
Detail_Meseta#0,"""$(0)"""
Detail_CountableItem#0,"""$(0)×$(1)"""
DetailsTitle#0,"""아이템 상세"""
Title#5,"""구입 확인"""
Message#0,"""<pict Arcscash><c ff4f3f>AC 소비 콘텐츠<c><br>$(1) 스크래치를<br>$(2)$(0)으로 구입합니다.<br>괜찮으시겠습니까?"""
Message_Fun#0,"""$(1)을<br>$(2)$(0)으로 구입합니다.<br>괜찮으시겠습니까?"""
PassMessage#0,"""<pict Arcscash><c 5fdf00>구매가 끝난 아이템 사용<c><br>$(0)を<br>$(2)を使用して引きます。<br>괜찮으시겠습니까?<br>(소지 수:$(1))"""
RetryMessage#0,"""<pict Arcscash><c ff4f3f>AC 소비 콘텐츠<c><br>계속해서 $(1) 스크래치를<br>$(2)$(0)으로 구입합니다.<br>괜찮으시겠습니까?"""
RetryMessage_Fun#0,"""계속해서 $(1)를<br>$(2)$(0)으로 구입합니다.<br>괜찮으시겠습니까?"""
RetryPassMessage#0,"""<pict Arcscash><c 5fdf00>구매가 끝난 아이템 사용<c><br>계속해서 $(0)을<br>$(2)を使用して引きます。<br>괜찮으시겠습니까?<br>(소지 수:$(1))"""
PassMessage_LotTimes#0,"""<pict Arcscash><c 5fdf00>구매가 끝난 아이템 사용<c><br>$(1)連$(0)を<br>$(4)を$(2)枚使用して引きます。<br>괜찮으시겠습니까?<br>(소지 수:$(3))"""
RetryPassMessage_LotTimes#0,"""<pict Arcscash><c 5fdf00>구매가 끝난 아이템 사용<c><br>계속해서$(1)連$(0)を<br>$(4)を$(2)枚使用して引きます。<br>괜찮으시겠습니까?<br>(소지 수:$(3))"""
Message_SG#0,"""<pict StarGem><c 1dedd7>SG소비 콘텐츠<c><br>$(1) 스크래치를<br>$(2)$(0)으로 구입합니다.<br>괜찮으시겠습니까?"""
RetryMessage_SG#0,"""<pict StarGem><c 1dedd7>SG소비 콘텐츠<c><br>계속해서 $(1)스크래치를<br>$(2)$(0)으로 구입합니다.<br>괜찮으시겠습니까?"""
NextBonusMessageFixed#0,"""$(0)<br><br>$(1)"""
