ChallengeSet#0,"""クラスセット"""
ChallengeSet_contents#0,"""クラスセット内容"""
ChallengeSet_ability#0,"""クラスセット説明（決定でクラススキルなど詳細を確認）"""
ChallengeSet_ability_list#0,"""クラススキル・PA・テクニック一覧"""
ChallengeSet_select#0,"""クラスセット選択"""
ChallengeSet_confirm#0,"""クラスセット確認"""
ChallengeSet_message#0,"""「$(0)」の内容で、<br>装備、クラススキルなどを変更します。<br><br>よろしいですか？"""
ChallengeSet_nouse#0,"""クエストが開始されたため、<br>クラスセットは変更できません。"""
ChallengeSet_Help#0,"""<c f0df60>クラスセットを選択できます<c>"""
ChallengeSet_Toast#0,"""クラスセット「$(0)」を適用しました"""
MySetClassSetNone#0,"""クラスがセットされていません"""
MySetEquipSetNone#0,"""装備品がセットされていません"""
MySetPreSetNone#0,"""プリセットがありません"""
StatusLabelLevel#0,"""Lv."""
NoClassSkillMessage#0,"""クラススキルがありません"""
NoPaMessage#0,"""フォトンアーツがありません"""
NoTechnicMessage#0,"""テクニックがありません"""
MySetClassNone#0,"""クラスが選択されていません"""
MySetItemNone#0,"""アイテムが選択されていません"""
Title#0,"""クラス詳細"""
ItemDetailTitle#0,"""Itemdetails"""
Class#0,"""クラス"""
Error#0,"""マイセットエラー"""
EquipError#0,"""装備変更できませんでした。"""
ListError#0,"""マイセットを取得できませんでした。"""
QuestStartError#0,"""すでにクエストは開始しています。"""
MenuError#0,"""マイセットがありません"""
InShipToast#0,"""一時的にチャレンジブロック専用の状態に切り替わりました。"""
MainMenu_Mail#0,"""共通メール"""
MainMenu_FriendList#0,"""共通フレンドリスト"""
MainMenu_Community_Friend#0,"""共通フレンドリスト"""
MainMenu_Community_Mail#0,"""共通メール"""
MainMenu_System_SimbolArt#0,"""共通シンボルアート"""
MainMenu_Community_CommonFriend#0,"""共通フレンドリスト"""
MainMenu_Community_CommonMail#0,"""共通メール"""
ChallengeTitleText#0,"""チャレンジモニュメント"""
ChallengeGuideText#0,"""<c f0df60>チャレンジクエストに挑戦したユーザーのランキングを表示します。<c>"""
ChallengeGuideNow#0,"""<c f0df60>チャレンジランキングの途中経過です。<c>"""
ChallengeGuideNew#0,"""<c f0df60>最新のチャレンジランキングです。<c>"""
ChallengeGuideOld#0,"""<c f0df60>過去のチャレンジランキングです。<c>"""
ChallengeTitleChallengeSelect#0,"""チャレンジ選択"""
ChallengeTitleQuest#0,"""$(0)"""
ChallengeCapDate#0,"""集計期間"""
ChallengeDate#0,"""毎週月曜7時更新"""
ChallengeRankingTitle#0,"""「$(0)」チャレンジランキング"""
ChallengeMission#0,"""MISSION$(0)($(1)%)"""
RankingTab01#0,"""上位20位"""
RankingTab02#0,"""自分の周囲"""
RankingTab03#0,"""フレンド上位20位"""
RankingTab04#0,"""チーム上位20位"""
RankingText01#0,"""ランキング"""
RankingText02#0,"""キャラクター名/プレイヤーIDネーム"""
RankingText03#0,"""到達エリア/CM"""
RankingText04#0,"""あなたの順位"""
RankingText05#0,"""ランキングリスト"""
RankingText06#0,"""キャラクター名"""
RankingText07#0,"""プレイヤーIDネーム"""
RankingErrorTitle#0,"""お知らせ"""
RankingErrorMsg#0,"""現在、一時的にチャレンジランキングは<br>ご利用いただけません。"""
SendTitle#0,"""チャレンジコメント"""
Message#0,"""今回のチャレンジの結果をコメントに残そう!<br><br>コメントはあなたの最高クリア率に記録された<br>タグに表示されるようになります。<br><br><yellow>※入力したコメントはパーティーメンバーにも<br>表示されるようになります。<c><br><yellow>※コメントは最高クリア率を超えなくても、<br>入力するごとに内容が更新されます。<c>"""
SendErrorTitle#0,"""チャレンジコメント"""
SendErrorMessage#0,"""ただいま大変混雑しております。<br>チャレンジコメントを保存することが、<br>できませんでした。"""
Achievement_Up#0,"""実績名(+$(0)CP)"""
Achievement_Down#0,"""を達成しました！"""
Clear_Msg#0,"""チャレンジクリア率：MISSION$(0) $(1)%"""
TextStart#0,"""challenge  start"""
TextClear#0,"""challenge clear"""
TextMission#0,"""mission"""
TextCongratulations#0,"""congratulations!"""
TextInterval#0,"""interval area"""
TextFinalMission#0,"""final mission"""
ResultEmptyMessage#0,"""ここにコメントを入力できます。"""
ReturnMessage#0,"""キャンプシップへ戻ります。<br>よろしいですか？<br><br>キャンプシップに戻ると、VRエネルギーが回復せず<br><yellow>パーティー全体のリザルト評価に影響します。<c><br>また、クエスト開始中に、長時間キャンプシップに<br>残り続けると、個人のリザルト評価に影響します。<br><br>この場で復活することで、VRエネルギーを<br>一定量回復させることができます。"""
SelectedForm_Title#0,"""共通シンボルアートリスト"""
Ship01#0,"""Ship01:フェオ"""
Ship02#0,"""Ship02:ウル"""
Ship03#0,"""Ship03:ソーン"""
Ship04#0,"""Ship04:アンスール"""
Ship05#0,"""Ship05:ラグズ"""
Ship06#0,"""Ship06:ケン"""
Ship07#0,"""Ship07:ギョーフ"""
Ship08#0,"""Ship08:ウィン"""
Ship09#0,"""Ship09:ハガル"""
Ship10#0,"""Ship10:ナウシズ"""
DebugShip01#0,"""Ship01"""
DebugShip02#0,"""Ship02"""
DebugShip03#0,"""Ship03"""
DebugShip04#0,"""Ship04"""
DebugShip05#0,"""Ship05"""
DebugShip06#0,"""Ship06"""
DebugShip07#0,"""Ship07"""
DebugShip08#0,"""Ship08"""
DebugShip09#0,"""Ship09"""
DebugShip10#0,"""Ship10"""
