st_056190_0010#0,"""Cuatro personas relacionadas con [Apprentice] han sido transportadas."""
st_056190_0020#0,"""Las cosas en este mundo son buenas, aunque no puedo creerlo ... pero es realmente incómodo experimentarlo realmente."""
st_056190_0030#0,"""Entonces, ¿Quién es esa niña que puede invocarnos?"""
st_056190_0040#0,"""Puede ser porque Aurora y usted tienen una relación profunda """
st_056190_0050#0,"""despues de todo soy la [Apprentice] original, pero desde el fondo, creo, parece estar relacionado."""
st_056190_0060#0,"""Como puedes ver, no soy yo.<br>Y por supuesto que no conozco a un idiota así."""
st_056190_0070#0,"""Ah, te lo dire una vez más estúpida!<br>¡Qué estúpido es decir estúpido cuántas veces puedes entender tonta!"""
st_056190_0080#0,"""Callate！<br>Debo decile estúpida a una tonta<br>Que no entiende!<br>Porque es estúpida!"""
st_056190_0090#0,"""Cuando las miras desde lejos parecen ser una copia"""
st_056190_0100#0,"""También hay palabras sobre la misma familia. Sin embargo, la existencia de la personalidad elegida por el [Apprentice] debe ser similar."""
st_056190_0110#0,"""Por cierto, ¿cómo volvemos a la nave Arks?"""
st_056190_0120#0,"""Ah... de hecho.<br>Todos los demás al ser derrotados fueron liberados y volvieron a su mundo original"""
st_056190_0130#0,"""Eh, ¿tengo que sentir dolor?<br>No tengo ese pasatiempo, ¿eh?"""
st_056190_0140#0,"""Antes, parece que alguien decia,<br>Para salvar a las personas no importa sertir dolor"""
st_056190_0150#0,"""¡Yuku-chan esto es molesto!<br>esa idiota que nos trajo asta este lugar."""
st_056190_0160#0,"""¡Incluso tú no sabes cómo regresar!<br>Por el contrario, ¡realmente no sabes cómo luchar!"""
st_056190_0170#0,"""¡No me importa!"""
st_056190_0180#0,"""Bueno, por favor, cálmense."""
st_056190_0190#0,"""Si se utilizo técnicas de invocación, debería poder regresar con el mismo metodo en el mismo lugar."""
st_056190_0200#0,"""¡Ah, entonces el palacio real, el palacio real!<br>¡Vamos rápido!<br>¡Y debemos apresurarnos para cancelar la orden de evacuación!"""
name01#0,"""？？？"""
name02#0,"""？？？"""
