Title_DeadMenu#0,"""Menú de incapacitación"""
Label_Return#0,"""Regreso al campamento"""
Label_Revival#0,"""Revive aquí"""
Title_Return#0,"""Regreso al campamento"""
Message_Return#0,"""Regreso al campamento.<br>¿Estás seguro?"""
Message_Return_NoReward#0,"""Regreso al campamento.<br>¿Estás seguro?<br><br><red>※Una vez que regrese al campamento, no podrá recibir la recompensa.<c>"""
Title_Revival#0,"""Revive aquí"""
Message_Revival#0,"""Resucitará aquí.<br>¿Estás seguro?"""
Message_Revival_NoReward#0,"""Resucitará aquí.<br>¿Estás seguro?<br><br><red>※Una vez revivido, no podrá recibir la recompensa.<c>"""
Message_ReturnFailure#0,"""Actualmente, no es posible regresar al campamento. """
Message_RevivalFailure#0,"""Actualmente, no se puede revivir."""
Label_Failure#0,"""Abandonar misión"""
Message_Failure#0,"""Abandonar misión. ¿Estás seguro?"""
Label_FailurePartyExit#0,"""Abandonar misión (Abandonar Grupo)"""
Message_FailurePartyExit#0,"""¿Abandonar la misión & Abandonar Grupo?"""
Label_Chat#0,"""ChaT"""
Label_UseHalf#0,"""Revivir usando un Half Doll"""
Title_HalfDollUse#0,"""Usar Half Doll"""
Message_HalfDollUse#0,"""Revivir usando Half Doll.<br>¿Está bien?<br><br><yellow>※Half Doll se puede usar $(1) veces restantes.<br>\u3000El número de usos se restablecerá al regresar al campamento.<c><br>(En posesion:$(0)）"""
Message_HalfDollNotRemain#0,"""Dado que Half Doll se ha utilizado $(1) veces, no se puede revivir.<br><br><yellow>※Al regresar al campamento, se recuperará hasta $(2) veces.<c><br>(En posesion:$(0)) """
Message_HalfDollNotHave#0,"""No tienes Half Doll así que no puedes revivir.<br><br><yellow>※Puedes usar la Half Doll hasta<br>\u3000$(0)veces.<br>\u3000El número de usos se restablecerá al regresar al campamento.<c>"""
Message_CanNowUseHalfDoll#0,"""Se ha restaurado el número de veces que se ha utilizado Half Doll."""
Message_Revive_count#0,"""Auto-revivir en 10 segundos."""
Message_Revive_count_5#0,"""Auto-revivir en 5 segundos."""
Message_Revive_count_Time#0,"""Auto-revivir en $(0) segundos."""
Title_RetryConform#0,"""Menú de reintento"""
Label_Retry#0,"""Reintentar"""
Title_RetrySelect#0,"""Volver a intentar la selección"""
Message_Retry#0,"""¿Quieres volver a intentar la misión?<br><br><red>Si vuelves a intentarlo, volverás a<br>antes del inicio de la misión.<c>"""
FastTravelTerminal_Revival#0,"""Usa el dispositivo Ryuker"""
FastTravelTerminal_Revival_NoReward#0,"""Regrese al frente del dispositivo Ryuker<br> ¿Está seguro?"""
FastTravelTerminal_Revival_NoReward_name#0,"""$(0)<br>Regrese al frente del dispositivo Ryuker<br> ¿Está seguro?"""
Central_Revival#0,"""¿Regresar a Central City?"""
Central_Revival_NoReward#0,"""¿Regresar a Central City?"""
Emergency_Revival#0,"""Revivir aquí\u3000"""
Emergency_Revival_Count#0,"""$(0)Segundos más tarde"""
Prologue_Revival_message#0,"""Durante esta misión, se revivirá automáticamente cuando sea incapasitado."""
Non_Text#0,"""Nada que mostrar"""
Menu_Main#0,"""Menú principal"""
Menu_Sub#0,"""SuB Menu"""
Menu_Money#0,"""AC & SG MeNu"""
MainMenu_Equip_WeaponAvatar#0,"""<pict ba_camouflage><pict 4space>Weapon campamento"""
MainMenu_ACMenu_MyShop#0,"""<pict ba_task><pict 4space>Mi Tienda"""
MainMenu_World_WorldMap#0,"""<pict ba_worldmap><pict 4space>Mapa del mundo"""
MainMenu_World_MessagePack#0,"""<pict ba_mpack><pict 4space>Paquete de mensajes"""
MainMenu_Quest_Rebops#0,"""<pict ba_task><pict 4space>Tareas"""
Category_Item#0,"""Objeto"""
Category_Equip#0,"""Equipo/Paleta"""
Category_SubPallet#0,"""Subpaleta"""
Category_Task#0,"""Tareas/Misión"""
Category_WorldMap#0,"""Mundo"""
Category_LogOut#0,"""Cerrar sesión"""
