r01_gd_flo_wi#0,"""Fuwan"""
r01_gd_pyc_ba#0,"""Tinos"""
r01_gd_sol_sw#0,"""Pedas Sword"""
r01_gd_sol_swld#0,"""Pedax Sword"""
r01_gd_sol_ri#0,"""Pedas Gun"""
r01_gd_sol_rild#0,"""Pedax Gun"""
r01_gd_sol_ax#0,"""Pedas Axe"""
r01_gd_sol_axld#0,"""Pedax Axe"""
r01_gd_sol_lu#0,"""Pedas Launcher"""
r01_gd_sol_luld#0,"""Pedax Launcher"""
r01_gd_gor_ba#0,"""Gororon"""
r01_gd_gor_bald#0,"""Gororox"""
r01_gd_for_ba#0,"""Dotts"""
r01_gd_box_ba#0,"""Nagrus"""
r01_gd_phe_ba#0,"""Oruq"""
r01_gd_ktn_ba#0,"""Bujin"""
r01_gd_mag_ba#0,"""Vallas"""
r01_gd_dra_ba#0,"""Nex Aelio"""
r01_gd_dra_rai#0,"""Nex Vera"""
r01_gd_gia_sw#0,"""Daedal Sword"""
r01_gd_gia_ax#0,"""Daedal Axe"""
r01_gd_sol_rai#0,"""Pedas Vera"""
r01_gd_god_1#0,"""?????"""
r01_nat_monki_ba#0,"""Oodan Loa"""
r01_nat_month_ba#0,"""Za Oodan Loa"""
r01_nat_wol_sm#0,"""Gulf Loa"""
r01_nat_wol_bi#0,"""Fangulf Loa"""
r01_nat_bir_ba#0,"""Agnis Loa"""
r01_nat_armma_ba#0,"""Gara Garongo"""
r01_nat_bea_ba#0,"""Cragbear"""
r01_nat_fan_m#0,"""Ard Banther"""
r01_nat_fan_f#0,"""Ard Banshee"""
r01_nat_fan_thum#0,"""Thunder Banther"""
r01_nat_fan_thuf#0,"""Thunder Banshee"""
r01_unk_rap_ba#0,"""Rappy"""
r01_alt_hrp_ba#0,"""Evil Ange"""
r01_alt_lzd_fl#0,"""Lizard Frey"""
r01_alt_lzd_sn#0,"""Lizard Ice"""
r01_alt_lzd_th#0,"""Lizard Thunder"""
r01_alt_der_ba#0,"""Hellk"""
r01_alt_hog_ba#0,"""Vinehog"""
r01_alt_cli_ba#0,"""Ciacurio"""
r01_alt_wlf_ba#0,"""Wauron"""
r01_alt_flg_ba#0,"""Big Frogga"""
r01_alt_tis_ba#0,"""El Discythe"""
r01_alt_tis_tra#0,"""El Discythe"""
r01_ani_rbt_w#0,"""Sunny"""
r01_ani_rbt_b#0,"""Moony"""
r01_ani_sli_a#0,"""Otterica"""
r01_ani_ush_a#0,"""Moobel"""
r01_ani_ush_b#0,"""Taubel"""
r01_ani_boa_a#0,"""Noxi"""
r01_ani_kit_a#0,"""Voks"""
r01_ani_moo_a#0,"""Dian"""
r01_ani_bir_s#0,"""-"""
r01_ani_brs_a#0,"""Patt"""
r01_ani_bir_b#0,"""Birdie"""
r01_ani_bir_yz#0,"""Flango"""
r01_non_dro_a#0,"""Drome"""
r01_unk_rap_9av#0,"""Ceremo Rappy"""
r01_unk_rap_ea#0,"""Fleur Rappy"""
r01_gd_sol_swbo#0,"""Boms Sword"""
r01_gd_sol_swbold#0,"""Bomux Sword"""
