Title#0,"""T:The Freezing Burn"""
Explanation#0,"""アークスシップ周辺宙域において<br>時空の歪みと共に異質な空間が発見された。<br>空間には「塔」のような建造物、および<br>炎と氷の相反する力を持つ強大な敵性存在<br>「灼零龍エルゼリオン」が確認されている。<br>各員現地に赴き、これを討伐せよ。<br>――――――――――――――――――――<br>最大与ダメージ制限/999999<br>失敗条件/制限時間の経過<br>\u3000\u3000\u3000\u3000       全員累計３回の戦闘不能"""
SimpleExplanation#0,"""Defeat Burning Zero: Elzelion!"""
NpcComMsg1#0,"""これから<br>灼零龍エルゼリオンがいる<br>塔のてっぺんにいくニャ。"""
NpcComMsg2#0,"""灼零龍エルゼリオンは<br>灼熱の炎と絶対零度の氷をあやつる<br>古龍なのニャ。"""
NpcComMsg3#0,"""熱かったり寒かったりするから<br>気をつけて行ってきてニャ！"""
NpcComMsg4#0,"""それじゃあ、ひと狩りいこうニャ！"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
Area0S#0,"""The Tower"""
Area0L#0,"""????: The Tower"""
TargetExplanation#0,"""Quest Objective [Defeat Burning Zero: Elzelion!]<br><br><c f0df60>Quest fails if <c ff2020>there are three incapacitations <c f0df60>between the entire party<c>"""
