name010#0,"""Nazun"""
text010#0,"""さぁ！\u3000いよいよ最後のクイズです！"""
text020#0,"""題して、“ここはどこでしょう？”クイズ！"""
text021#0,"""今から表示される画像を見て、どこに設置されている<br>リューカーデバイスかを当ててください。"""
text030#0,"""周囲の景色から、ヒントを見つけてくださいね。<br>レッツ、シンキング！"""
text040#0,"""タイムアーップ！"""
text080#0,"""これで、すべてのクイズが終了です。"""
text081#0,"""……と、ちょっと待ってください？"""
text082#0,"""おおっと！<br>またしても、エネミーが会場に乱入!?"""
quiz00_01#0,"""なし"""
quiz_correct#0,"""Congratulations!"""
quiz_incorrect#0,"""Bad luck..."""
quiz01#0,"""ここはどこでしょう？"""
quize01_select1#0,"""クライアノ断崖"""
quize01_select2#0,"""ラーカウ海岸"""
quize01_select3#0,"""ハルファナ平原：東"""
quize01_select4#0,"""ハルファナ平原：北"""
quize02_select1#0,"""ハルファナ平原：東"""
quize02_select2#0,"""ハルファナ平原：北"""
quize02_select3#0,"""マグナス山：西"""
quize02_select4#0,"""バルフロウ大瀑布：西"""
quize03_select1#0,"""マグナス山：西"""
quize03_select2#0,"""バルフロウ大瀑布"""
quize03_select3#0,"""ラーカウ海岸"""
quize03_select4#0,"""カナイ島"""
quize04_select1#0,"""イハナ山：西"""
quize04_select2#0,"""ダナン雪原：西"""
quize04_select3#0,"""ベルガナ遺跡：北"""
quize04_select4#0,"""ラトヴァ山：北"""
quize05_select1#0,"""ダナン雪原：西"""
quize05_select2#0,"""ミストラ樹林：北"""
quize05_select3#0,"""クイール山道"""
quize05_select4#0,"""イハナ山：東"""
quize01_answer#0,"""And the answer is...<br><red>クライアノ断崖<c>!"""
quize02_answer#0,"""And the answer is...<br><red>ハルファナ平原：東<c>!"""
quize03_answer#0,"""And the answer is...<br><red>マグナス山：西<c>!"""
quize04_answer#0,"""And the answer is...<br><red>イハナ山：西<c>!"""
quize05_answer#0,"""And the answer is...<br><red>ダナン雪原：西<c>!"""
quize06_select1#0,"""マグナス山：東"""
quize06_select2#0,"""マグナス山：西"""
quize06_select3#0,"""バルフロウ大瀑布：西"""
quize06_select4#0,"""ピコット山"""
quize06_answer#0,"""And the answer is...<br><red>マグナス山：東<c>!"""
quize07_select1#0,"""ラーカウ海岸"""
quize07_select2#0,"""クライアノ断崖"""
quize07_select3#0,"""エアリオタウン跡"""
quize07_select4#0,"""カナイ島"""
quize07_answer#0,"""And the answer is...<br><red>ラーカウ海岸<c>!"""
quize08_select1#0,"""ベルガナ遺跡：南"""
quize08_select2#0,"""ベルガナ遺跡：北"""
quize08_select3#0,"""ミストラ樹林：南"""
quize08_select4#0,"""ダナン雪原"""
quize08_answer#0,"""And the answer is...<br><red>ベルガナ遺跡：南<c>!"""
quize09_select1#0,"""ミストラ樹林：南"""
quize09_select2#0,"""ベルガナ遺跡：北"""
quize09_select3#0,"""ベルガナ遺跡：南"""
quize09_select4#0,"""ダナン雪原"""
quize09_answer#0,"""And the answer is...<br><red>ミストラ樹林：南<c>!"""
quize10_select1#0,"""ラトヴァ山：北"""
quize10_select2#0,"""ダナン雪原：西"""
quize10_select3#0,"""ベルガナ遺跡：北"""
quize10_select4#0,"""イハナ山：西"""
quize10_answer#0,"""And the answer is...<br><red>ラトヴァ山：北<c>!"""
quize11_select1#0,"""ステッキン低地"""
quize11_select2#0,"""モラーバ渓谷"""
quize11_select3#0,"""サガーン山道：西"""
quize11_select4#0,"""サガーン山道：東"""
quize11_answer#0,"""And the answer is...<br><red>ステッキン低地<c>!"""
quize12_select1#0,"""サガーン山道：東"""
quize12_select2#0,"""モラーバ渓谷"""
quize12_select3#0,"""サガーン山道：西"""
quize12_select4#0,"""ステッキン低地"""
quize12_answer#0,"""And the answer is...<br><red>サガーン山道：東<c>!"""
quize13_select1#0,"""アルディマンド砂漠"""
quize13_select2#0,"""トリニテス"""
quize13_select3#0,"""ダルスマブル砂漠"""
quize13_select4#0,"""ガルネール海岸：東"""
quize13_answer#0,"""And the answer is...<br><red>アルディマンド砂漠<c>!"""
quize14_select1#0,"""ダルスマブル砂漠"""
quize14_select2#0,"""トリニテス"""
quize14_select3#0,"""アルディマンド砂漠"""
quize14_select4#0,"""ガルネール海岸：東"""
quize14_answer#0,"""And the answer is...<br><red>ダルスマブル砂漠<c>!"""
quize15_select1#0,"""ガルネール海岸：西"""
quize15_select2#0,"""ステッキン低地"""
quize15_select3#0,"""アルディマンド砂漠"""
quize15_select4#0,"""ガルネール海岸：東"""
quize15_answer#0,"""And the answer is...<br><red>ガルネール海岸：西<c>!"""
quize16_select1#0,"""アルテラベース"""
quize16_select2#0,"""フェルーサ岩稜：第２"""
quize16_select3#0,"""デクストベース：第１"""
quize16_select4#0,"""デクストベース：第２"""
quize16_answer#0,"""And the answer is...<br><red>アルテラベース<c>!"""
quize17_select1#0,"""デクストベース：第１"""
quize17_select2#0,"""フェルーサ岩稜：第２"""
quize17_select3#0,"""アルテラベース"""
quize17_select4#0,"""デクストベース：第２"""
quize17_answer#0,"""And the answer is...<br><red>デクストベース：第１<c>!"""
quize18_select1#0,"""ドライゼンプラント：第２"""
quize18_select2#0,"""ドライゼンプラント：第１"""
quize18_select3#0,"""フェルーサ岩稜：第１"""
quize18_select4#0,"""ノイゼンプラント"""
quize18_answer#0,"""And the answer is...<br><red>ドライゼンプラント：第２<c>!"""
quize19_select1#0,"""フェルーサ岩稜：第１"""
quize19_select2#0,"""ドライゼンプラント：第１"""
quize19_select3#0,"""フェルーサ岩稜：第２"""
quize19_select4#0,"""ノイゼンプラント"""
quize19_answer#0,"""And the answer is...<br><red>フェルーサ岩稜：第１<c>!"""
quize20_select1#0,"""フェルーサ岩稜：第２"""
quize20_select2#0,"""ドライゼンプラント：第１"""
quize20_select3#0,"""フェルーサ岩稜：第１"""
quize20_select4#0,"""ノイゼンプラント"""
quize20_answer#0,"""And the answer is...<br><red>フェルーサ岩稜：第２<c>!"""
