st_058020_0001#0,"""A.P.242/1/8/10:00"""
st_058020_0010#0,"""Siento tener que sacarte así. ¿Estás, umm, bien?"""
st_058020_0020#0,"""<%me>……<br>Te ves muy pálid@... ¿sucedió algo allí?"""
st_058020_0030#0,"""va a ser una larga historia"""
st_058020_0040#0,"""Primero, ¿para qué nos llamaste?"""
st_058020_0050#0,"""Está bien entonces. Sospecho que hay una coneccion entre nuestras malas noticias, entonces. Empezaré explicando qué está pasando en este lado."""
st_058020_0060#0,"""El agujero negro ha explotado completamente en tamaño. Y no porque haya estado dibujando cosas desde afuera, no. Su inflamación muy claramente desde el interior."""
st_058020_0070#0,"""Esto es lo que nuestros instrumentos están viendo ahora mismo."""
st_058020_0080#0,"""¿Es como un latido del corazón?"""
st_058020_0090#0,"""Un latido del corazón audible a través del vacío del espacio, que no debería llevar sonido. Eso solo sería lo suficientemente extraño, pero..."""
st_058020_0100#0,"""El agujero negro está latiendo como un corazón, pero también crece mientras lo hace."""
st_058020_0110#0,"""Entonces ustedes dos..."""
st_058020_0120#0,"""¿Podrías decirnos exactamente qué sucedió en Omega?"""
st_058020_0130#0,"""Si."""
st_058020_0140#0,"""Omega en sí es Profound Darkness... """
st_058020_0150#0,"""No es Profound Darkness quien infesta Omega... """
st_058020_0160#0,"""Es que Omega está prácticamente construido encima de Profundo Darkness, eh..."""
st_058020_0170#0,"""¡Pero esto no tiene sentido! Lo que le pasó a el, el era el presentadoro actual de Profoun Darkness, ¿verdad?"""
st_058020_0180#0,"""Siempre existe la posibilidad de que Elmir estuviera mintiendo cuando dijo que él era Persona, pero... no creo que pueda ganar nada con eso."""
st_058020_0190#0,"""No creo que tengamos el lujo de ser optimistas en este escenario."""
st_058020_0200#0,"""Creo que tenemos que tratar como un hecho y actuar sobre la base de que Persona, se ha convertido en Elmir ."""
st_058020_0210#0,"""Si todo lo que está ocurriendo se debe a la presencia de Elmir y ese capullo; entonces podemos actuar para cortar esto en el brote ahora."""
st_058020_0220#0,"""Dices 'actuar', pero ... te refieres a destruirlos, ¿Verdad? ¿Es eso posible, como están las cosas?"""
st_058020_0230#0,"""Y si los destruimos,<br>¿Entonces qué pasaría con la pobre Harriet?"""
st_058020_0240#0,"""¿Realmente tienes la intención de renunciar a ella tan fácilmente? No me hagas reir"""
st_058020_0250#0,"""No podemos rendirnos"""
st_058020_0260#0,"""Todavía hay más que podemos hacer."""
st_058020_0270#0,"""<%me>……！<br>Sí, tienes razón! No puedo rendirme tan fácilmente!"""
st_058020_0280#0,"""No se sabe cómo pueden ir las cosas, pero... eso no es excusa para sentarse y no hacer nada."""
st_058020_0290#0,"""Quiero decir, todos nos metimos en esto tratando de resolver una situación por encima de nuestras cabezas, ¿verdad? Solo tenemos que hacer lo que podamos para ayudar, ¡Supongo!"""
st_058020_0300#0,"""Pues intenta y encuentra una solución desde este extremo. Dejaré investigando la situación en Omega para ustedes dos, como siempre."""
st_058020_0310#0,"""No tenemos mucho tiempo, pero como el dijo... todavía hay cosas que podemos hacer para ayudar."""
st_058020_0320#0,"""Lo primero es lo primero, debemos dirigirnos a Cuent. Con Harriet desaparecida, es probable que estén en un estado de pánico."""
name01#0,"""？？？"""
name02#0,"""？？？"""
