st_058080_0010#0,"""Siento que estamos progresando, pero... ¡El capullo todavía está a una buena distancia!"""
st_058080_0020#0,"""Y los enemigos siguen acumulándose...<br>¡Cuidado, arriba de ti!"""
st_058080_0030#0,"""¡Agachate!"""
st_058080_0040#0,"""¡Uf, llegue en un momento oportuno! <br>Espero recibir gratitud y reverencia de ambos."""
st_058080_0050#0,"""¿Maru? ¡¿Qué estás haciendo aquí?! ¿Cómo llegaste?"""
st_058080_0060#0,"""A través del poder de nuestro Dios, ¿qué más? Si el mundo se acaba, no tendría a nadie quien le adorara, ¡y finalmente... Entendio la pista!"""
st_058080_0070#0,"""Pero Dios entiende el desastre es esta situación, y me déjo tomar prestado su poder... por un momento."""
st_058080_0080#0,"""El buen servicio de tu Dios para echar una mano, ¿eh?"""
st_058080_0090#0,"""Jah No eres una mujer de fe, ¿verdad, hada? De lo contrario, ¡sabrías que todos los dioses son un paquete de hipocresía y oportunismo!"""
st_058080_0100#0,"""Los dioses son capaces de hacer lo que quieran,<br>y luego solo van <br>Nah, en realidad, no pueden ser molestados."""
st_058080_0110#0,"""Y por una vez, en realidad se este molestando en hacer algo, ¡así que considérenlo como una bendición literalmente!"""
st_058080_0120#0,"""Y además, ¡no soy solo yo quien viene corriendo en tu auxilio!"""
st_058080_0130#0,"""¡Por la reina Harriet!"""
st_058080_0140#0,"""¡Por el Guardian!"""
st_058080_0150#0,"""Todas estas personas se han unido... para salvar al mundo."""
st_058080_0160#0,"""Guardián... ¡Por favor, tráenos a la reina Harriet!"""
st_058080_0170#0,"""¡Hay escaramuzas rompiendo por las barreras!<br>¡El enemigo está siendo arrastrado hacia ellos!"""
st_058080_0180#0,"""Son solo monstruos sin mente, después de todo. Pon una batalla más grande y más tentadora debajo de sus narices y todos se irán acelerando hacia ella."""
st_058080_0190#0,"""Todos están aquí para empujarte a la victoria. Y el Guardián cuyo nombre está escrito en su leyenda nunca los defraudaría, ¿verdad?"""
st_058080_0200#0,"""¡Por su puesto que no!"""
st_058080_0210#0,"""¡No te preocupes!"""
name01#0,"""Soldado 1"""
name02#0,"""Soldado 2"""
