Area0S#0,"""ARKS Ship"""
Area0L#0,"""ARKS Ship: Urban District Skies"""
Title#0,"""T:The Sixth Angel"""
Explanation#0,"""アークスシップ市街地に、巨大な結晶型の<br>「使徒」と呼ばれる存在を確認。先端部が<br>アークスシップ最深部の動力炉を目指して<br>侵攻している。万一、動力炉が破損すれば<br>甚大な被害をもたらすことが予測される。<br>各員はA.I.Sに搭乗し、エヴァンゲリオン<br>初号機と協力して「使徒」を殲滅せよ。<br>――――――――――――――――――――<br>成功条件/目標の撃破"""
NpcComMsg1#0,"""これより、使徒殲滅作戦を開始します。<br>アークス各員は、A.I.Sヴェガにて<br>出撃をお願いします。"""
NpcComMsg2#0,"""出撃後、エヴァ初号機が狙われないよう<br>周囲の援護砲台と連携し<br>目標の注意を引いてください。"""
NpcComMsg3#0,"""目標からの強力な反撃が予想されますが<br>陽電子砲のチャージ完了まで<br>何としてでも凌いでください。健闘を！"""
SimpleExplanation#0,"""Destroy the Angel!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
