msc_013180_0010#0,"""고마워 덕분에 살았어."""
msc_013180_0020#0,"""저기 당신은..."""
msc_013180_0030#0,"""...툴리다."""
msc_013180_0040#0,"""당신들에 대한건 쿠카에게 들었어.<br>이루마를 찾고있지?"""
msc_013180_0050#0,"""응, 뭔가 실마리는 찾았어?"""
msc_013180_0060#0,"""돌즈의 둥지에 발을 들여놓지 않도록...<br>부셔가면서 찾아봤지만 그럴듯한 흔적은 없었어."""
msc_013180_0070#0,"""우리도 도와줄게."""
msc_013180_0080#0,"""아니...괜찮아.<br>스스로 어떻게든 해볼게."""
msc_013180_0090#0,"""어...?"""
msc_013180_0100#0,"""아, 기다려...!"""
msc_013180_0110#0,"""당신들...실력은 나쁘지않아."""
msc_013180_0120#0,"""이 앞에 있는“미스트라 수림”.<br>그곳에 타이바스가 있어..."""
msc_013180_0130#0,"""그쪽을 도와줬으면해."""
msc_013180_0140#0,"""난 주변의 돌즈를 정리하면...돌아갈게."""
