name_7224#0,"""시트레"""
ssn_019070_002_0001#0,"""와 줘서 고마워.<br>다시 한 번 내 소개를 할게."""
ssn_019070_002_0002#0,"""내 이름은 시트레. 센트럴 시티의 보급 부대 소속이고,<br>물자 관리나 전투 지원같은 걸 맡고 있어."""
ssn_019070_002_0003#0,"""요즘 들어 여태까지보다 강한 에너미들이 확인되고 있어.<br>부상자도 늘어서 의무부대도 굉장히 바빠졌나 봐."""
ssn_019070_002_0004#0,"""그래서 아크스 모두가 강적과도 싸울 수 있도록,<br>무기 강화에 관해 조언을 주던 참이야."""
ssn_019070_002_0005#0,"""그러니까, 오지랖일 수도 있지만<br>너도 이 프로그램에 참가해 주지 않을래?"""
ssn_019070_002_0006#0,"""먼저, 강화를 위한 자금 조달이야.<br>알파 리액터 수집이 빠르니까 그 쪽을 추천할게."""
ssn_019070_002_0007#0,"""에아리오를 구석구석 찾아보면 찾을 수 있을 거야."""
ssn_019070_002_0008#0,"""그럼, 힘 내!"""
ssn_019070_002_0009#0,"""안녕, 요즘은 어때?<br>난 여전히 안전한 수송로를 확보하려고 고생하는 중이야."""
ssn_019070_002_0010#0,"""어서 와!<br>무기 강화는 여태 모아온 것들로도 가능한데……."""
ssn_019070_002_0011#0,"""캡탄이라는 에너미, 알고 있어?"""
ssn_019070_002_0012#0,"""요즘 늘어난 강력한 에너미들과는 별개로,<br>돌즈하고도 알터즈하고도 다른 타입인 것 같아."""
ssn_019070_002_0013#0,"""……뭐, 그 쪽 조사는<br>섄디랑 란에게 맡겨두고……."""
ssn_019070_002_0014#0,"""이 캡탄이, 장비 성능향상에 빼 놓을 수 없는<br>캡슐을 뿌리거든."""
ssn_019070_002_0015#0,"""……정체 불명의 에너미지만,<br>우리들로서는 잘 된 일이지."""
ssn_019070_002_0016#0,"""그래서, 그 녀석을 찾아 주었으면 해."""
ssn_019070_002_0017#0,"""네 장비를 강화하기 위해서라도."""
ssn_019070_002_0018#0,"""아, 돌아왔구나!"""
ssn_019070_002_0019#0,"""이제 강화 준비는 다 됐어.<br>아이템 랩에 가는 것만 남았네."""
ssn_019070_002_0020#0,"""어느 무기를 어느 정도 강화할지는<br>네 판단에 맏길게."""
ssn_019070_002_0021#0,"""그 무기로, 앞으로도<br>에너미 토벌에 협력해 줘."""
ssn_019070_002_0022#0,"""자!\u3000이번 프로그램은 이걸로 끝이야.<br>너한테는 한참 전에 끝낸 메뉴들일지도 모르지만……."""
ssn_019070_002_0023#0,"""참가해 준 사례를 줄게."""
ssn_019070_002_0024#0,"""그리고, 혹시 네 친구들이 무기 강화를 어려워하면, <br>이번 경험을 토대로 조언해 줘."""
ssn_019070_002_0025#0,"""그럼, 앞으로도 부탁할게!"""
ssn_019070_002_0026#0,"""보급은 전투의 생명줄!<br>에너미가 좀 강해졌다고 무너질 순 없지."""
ssn_019070_002_0027#0,"""너도 심신과 장비를 단련해서<br>힘 내!"""
npc_menu_0001#0,"""티켓 교환（<utcymdt>2022-6/8/2:00</utcymdt>까지）"""
npc_menu_0002#0,"""시즈널 포인트로 아이템 교환（<utcymdt>2022-6/8/2:00</utcymdt>까지）"""
npc_menu_0003#0,"""시즈널 이벤트의 설명 듣기"""
npc_menu_0004#0,"""메뉴 닫기"""
npc_menu_0005#0,"""\""시즈널 이벤트\""에 관하여"""
npc_menu_0006#0,"""\""시즈널 이벤트 캐릭터\""에 관하여"""
npc_menu_0007#0,"""\""데일리/위클리 태스크\""에 관하여"""
npc_menu_0008#0,"""\""미스치프 심볼\""에 관하여"""
npc_menu_0009#0,"""\""시즈널 개더링\""에 관하여"""
npc_menu_0010#0,"""\""시즈널 리전 마그\""에 관하여"""
npc_menu_0011#0,"""\""시즌 에너미\""에 관하여"""
npc_menu_0012#0,"""\""월드 트라이얼\""에 관하여"""
npc_menu_0013#0,"""\""캡탄\""에 관하여"""
npc_menu_0014#0,"""묻고 싶은 것이 없다"""
