name_7440#0,"""Hatsukari"""
ssn_015750_0001#0,"""The fightin' in Stia still hasn't died down."""
ssn_015750_0002#0,"""But, thanks to you, it's better than it used to be."""
ssn_015750_0003#0,"""In other words, things've probably just broke even. Hahaha!"""
ssn_015750_0004#0,"""I'm expectin' good things from you!"""
ssn_015750_0101#0,"""おう、お前か！<br>ちょっと聞いてくれよ。"""
ssn_015750_0102#0,"""実は最近、メディオラ下層部の調査が進んで、<br>新しい領域に入れるようになったんだ。"""
ssn_015750_0103#0,"""“ノイゼンプラント”っていう場所らしい。"""
ssn_015750_0104#0,"""で、さっそくその探索と、<br>エネミーの掃討にとりかかるってわけだ。"""
ssn_015750_0105#0,"""どうだ？<br>また、お前も手伝ってくれねぇか？"""
ssn_015750_0201#0,"""なんだ、忙しいのか。<br>まぁ、いろんなところで頼られてそうだからな。"""
ssn_015750_0301#0,"""“ノイゼンプラント”は、<br>まだ、あんまりよくわかってねぇ場所だ。"""
ssn_015750_0302#0,"""なにが起こってもいいように、<br>準備だけは怠るんじゃねぇぞ。"""
ssn_015750_0303#0,"""進入ルートは、メディオラ中枢部と同じだ。<br>そんじゃ、頼んだぜ！"""
ssn_015750_0401#0,"""スティアの戦いは、<br>まだまだラクにならねぇな。"""
ssn_015750_0402#0,"""でも、お前のおかげで、<br>思ってたよりはラクになってる。"""
ssn_015750_0403#0,"""つまり、プラマイゼロってわけだな。<br>はっはっはっ！"""
ssn_015750_0404#0,"""これからも、<br>お前の活躍、期待してるぜ！"""
