ProgressCount#0,"""$(0)/$(1)"""
TrialSuccessMsg#0,"""Выполнено испытание<br>\""$(0)\""!"""
TrialFailureMsg#0,"""Провалено испытание<br>\""$(0)\""!"""
TrialCancelMsg#0,"""Покинуто испытание<br>\""$(0)\""!"""
RewardTextClear#0,"""Завершено испытание<br>\""$(0)\""!"""
RewardTextRew#0,"""Награда"""
RewardTextMeseta#0,"""<pict reb_meseta>$(0)"""
RewardTextItemNameNum#0,"""$(0)×$(1)"""
RewardTextItemName#0,"""$(0)"""
ProgDefenceWave#0,"""Волна．"""
ProgNumPlayerDied#0,"""Смерти"""
FLineMsg_TimeOver#0,"""Испытание провалено.<br>Время вышло!"""
FLineMsg_DefenceTarget_Dead#0,"""Испытание провалено.<br>Не удалось защитить $(0)!"""
FLineMsg_NumPlayerDied#0,"""＊＊＊失敗理由：累計戦闘不能回数"""
MJournal_HostName#0,"""Хост"""
MJournal_PlayerNum#0,"""Кол-во участников"""
MJournal_RemainDecide#0,"""До начала гонки"""
MJournal_RemainBoot#0,"""＊開始まで残り"""
MSelectTitle#0,"""Выбор маршрута для гонки"""
MButtonGuide_HostMenu#0,"""Зажмите для изменения статуса подбора"""
MButtonGuide_HostMenuTail#0,"""Выбранная область для гонки: $(0)"""
MButtonGuide_HostTitle#0,"""$(0)"""
MButtonGuide_HostMessage#0,"""Желаете начать<br>[$(0)] сейчас?"""
MButtonGuide_HostYes#0,"""Начать сейчас"""
MButtonGuide_HostNo#0,"""Остановить подбор"""
MButtonGuide_MemberMenu#0,"""Зажмите для изменения статуса подбора"""
MButtonGuide_MemberMenuTail#0,"""Принятая область для гонки: $(0)"""
MButtonGuide_MemberTitle#0,"""$(0)"""
MButtonGuide_MemberMessage#0,"""Желаете отказаться от<br>участия в гонке?"""
MButtonGuide_MemberYes#0,"""Да"""
MButtonGuide_MemberNo#0,"""Нет"""
MStartNotice_HostPlayer#0,"""Начат подбор на гонку в области."""
MStartNotice_MemberPlayer#0,"""Вы вступили в подбор $(0)."""
MCancelReason_EnterNew_ButExist#0,"""Вы не можете сделать это, так как подбор был запущен другим игроком."""
MCancelReason_EnterExist_ButNotFound#0,"""Время подбора истекло."""
MCancelReason_HostChanged#0,"""Хост отменил подбор."""
MCancelReason_MemberExit#0,"""Вы покинули: $(0)."""
MCancelReason_Exclusion#0,"""Вы уже участвуете в другой гонке."""
MNotice_HostChanged#0,"""$(0) стал(а) хостом."""
MCourse_SAerio#0,"""Пробежка через Юг Эарио (1-й этап)"""
MCourse_WAerio#0,"""Пробежка через Запад Эарио (1-й этап)"""
MCourse_WRitem#0,"""Пробежка через Запад Ритем (1-й этап)"""
MCourse_CKuvaris#0,"""Пробежка через Центр Кварис (1-й этап)"""
MCourse_SKuvaris#0,"""Пробежка через Юг Кварис (1-й этап)"""
