TrialName_1Enemy#0,"""Подавление $(0)"""
TrialBeginMsg_1Enemy#0,"""Одолейте $(0)!"""
TrialAbstract_1Enemy#0,"""Одолеть $(0)"""
TrialName_Multi#0,"""Подавление врагов"""
TrialBeginMsg_Multi#0,"""Одолейте врагов!"""
TrialAbstract_Multi#0,"""Одолеть врагов"""
GaugeCharge#0,"""M.A.R.S.バッテリーが一定量回復しました。"""
NpcComOnForetaste#0,"""Похоже, что где-то поблизости есть враги!<br>Пожалуйста, разберитесь с ними как можно скорее."""
NpcComOnSuccess#0,"""Подтверждаю уничтожение врагов!<br>Благодарю вас за быстрое реагирование."""
NpcComOnFailure#0,"""Враги отступили.<br>...В текущий момент угрозы нет."""
NpcComOnForetasteNGS2#0,"""/voice11_voice_navi001_trial_0001_002 Подтверждаю сигнал мощного врага!<br>Обычно его нельзя найти в этой области.<br>Будьте осторожны!"""
NpcComOnSuccessNGS2#0,"""/voice11_voice_navi001_trial_0001_069 Подтверждаю уничтожение врага<br>Спасибо, что позаботились об этом."""
NpcComOnFailureNGS2#0,"""/voice11_voice_navi001_trial_0001_073 Враг отступает. Не преследуйте его.<br>Займитесь другими делами."""
NpcComOnForetaste_DryverusTrial#0,"""その付近に強力なエネミーがいるようです！<br>至急、対応をお願いします。"""
NpcComOnSuccess_DryverusTrial#0,"""エネミーへの対応、<br>ありがとうございます。"""
NpcComOnForetasteNGS2#1,"""Ох... Обнаружен сигнал неких уникальных врагов.<br>Нам нужно больше данных о них.<br>Пожалуйста, позаботьтесь о них."""
NpcComOnSuccessNGS2#1,"""Что и стоило ожидать от вас, <%me>.<br>Благодарю вас за помощь."""
NpcComOnFailureNGS2#1,"""Подтверждаю отступление врага...<br>Не беспокойтесь об этом. Продолжайте заниматься своими делами!"""
