ra_012010_0010#0,"""The timeline has shown a significant change. This is all because of your efforts."""
ra_012010_0020#0,"""...Even if it may not be what you had hoped for."""
ra_012010_0030#0,"""I and We must apologize. Even though we knew of this outcome we were unable to alter it."""
ra_012010_0040#0,"""However, everything that could be done was attempted. It may have not been for nothing."""
ra_012010_0050#0,"""Because the one who has seen everything; you, may hold the key."""
ra_012010_0055#0,"""The experiences that you hold will shape the world, along with the allies and enemies that come from it."""
ra_012010_0060#0,"""That is something you must continue to see through as you desire."""
ra_012010_0070#0,"""I and We are here to assist you as much as we can."""
ra_012010_0080#0,"""A.P.238/4/2"""
al_010090_0010#0,"""……今から四十年以上前<br>わたしと、ギーくんと、リーちゃんは<br>ダークファルス【巨躯】と戦った。"""
al_010090_0020#0,"""結果だけ見れば、アークスの勝ちだよ。<br>相当ボロボロにされちゃったけども<br>……アークスは、勝ったんだ。"""
al_010090_0030#0,"""【巨躯】の力はとんでもなかったよ。<br>あいつの力でナベリウスの地形が変わり<br>凍土が生まれちゃったぐらいだからね。"""
al_010090_0040#0,"""消滅させるのは、不可能だった。<br>だから、【巨躯】を封印したんだ。<br>ナベリウスの大地に縛り付けるように。"""
al_010090_0050#0,"""その時に使ったのが<br>創世器「白錫クラリッサ」……<br>貴方が直してくれた、あの武器だよ。"""
al_010090_0060#0,"""こうして、クラリッサを鍵として<br>【巨躯】は封印された。<br>けど、皆には「撃破した」と伝えた。"""
al_010090_0070#0,"""そこに、いろいろな思惑はあったけど<br>三英雄と祭りあげられた、わたしたちも<br>それでいいと、思ってた。"""
al_010090_0080#0,"""これからも続くダーカーとの戦いで<br>その虚勢の事実が、希望になるなら<br>……優しい嘘も、必要だって。"""
al_010090_0090#0,"""いつか、わたしたちが繋いだ未来の先に<br>ダークファルスを完全に消滅させる手が<br>見つかるって信じてたしね。"""
al_010090_0100#0,"""でも、数十年程度で封印が<br>解除されちゃうなんて<br>思ってもみなかった、かな。"""
al_010090_0110#0,"""しかも、その封印解除は<br>シオンの導きによって成就したと<br>言っても過言じゃないわけ。"""
al_010090_0120#0,"""【巨躯】を復活させる危険を冒してまで<br>叶えたかったシオンの目的……願いって<br>一体、何なんだろう……"""
al_010090_0130#0,"""次の記録も、見てみないと。"""
text01#0,"""<br>Received Matterboard 『Idol Conflict』<br>"""
