st_051060_0010#0,"""Cegat dia!"""
st_051060_0020#0,"""……くっ！"""
st_051060_0030#0,"""Kau menyebabkan kami banyak masalah!<br>Namun sekarang waktunya kita berhenti main-main!"""
st_051060_0040#0,"""Aku diberitau oleh mereka bahwa tidak masalah hidup atau mati!<br>Bunuh dia!"""
st_051060_0050#0,"""A-apa!?"""
st_051060_0060#0,"""Saya mungkin terlihat begitu manis,<br>tapi aku memiliki pengetahuan."""
st_051060_0070#0,"""Cih, mereka masih tetap royal, walau mereka busuk."""
st_051060_0080#0,"""Tapi, kamu merenungkan satu sama lainnya tuan putri!"""
st_051060_0090#0,"""Apa! Sebuah pemanggilan!?<br>Apakah ahli sihir itu berhasil?"""
st_051060_0100#0,"""くっ！"""
st_051060_0110#0,"""(...Singkirkan!)"""
st_051060_0120#0,"""Apa!?<br>Siapa kamu?"""
st_051060_0130#0,"""Siapa kamu!?"""
st_051060_0140#0,"""Tidak masalah jika kamu terlihat mencampuri..<br>Aku akan akhiri kalian berdua disini!"""
st_051060_0150#0,"""Apakah kamu berencana menggunakan Ephimera?<br>Hati-hati, musuh datang!"""
st_051060_0160#0,"""Wah.. ini tidak akan melelahkan!<br>Hal ini sangat menakjubkan!"""
st_051060_0170#0,"""Pemanggilan binatang!<br>Bunuh bermuka tebal arogan<br>yang bodoh secepatnya itu!"""
st_051060_0180#0,"""Tidak ada pilihan selain<br>mengalahkan musuh ini.<br>Dapatkah aku bergantung padamu?"""
name01#0,"""Tentara"""
name02#0,"""？？？"""
skit01#0,"""Orang Yang Tak Dikenal"""
skit02#0,"""Pelopor Keselamatan"""
