st_055020_0010#0,"""¡Ugh... Ugh...！"""
st_055020_0020#0,"""¡Por qué! ¡No creé este niño por esta circunstancia!"""
st_055020_0030#0,"""¡Estoy esperando!<br>Aun si su conocimiento fuera posible... <br>¡Incluso con mis trucos...!"""
st_055020_0040#0,"""¡Muéstrame, Xion! ¿Por qué no me respondes?<br>¿Me vas a dejar sin respuesta?"""
st_055020_0050#0,"""No, no, no, no!<br>Esto es... todo el mal!"""
st_055020_0060#0,"""¡Ah!<br>... ... ..."""
st_055020_0070#0,"""Sí, así es...<br>Si obtengo la omnisciencia...<br>y luego... y luego...!"""
st_055020_0080#0,"""¿Qué pasa, Luther? Has venido sin tocar..."""
st_055020_0090#0,"""Luther... Hermano?"""
st_055020_0100#0,"""Harriet... Mi mejor creación... El lugar donde deberías estar no está aquí."""
st_055020_0110#0,"""Hermano, que!?"""
st_055020_0120#0,"""Aiiiiiiiiiieeeeeeeeeeeeeeeeeee!?"""
st_055020_0130#0,"""Esa no era la voz de Harriet, ¿no? <%me>!"""
st_055020_0140#0,"""¡Lady Harriet!"""
st_055020_0150#0,"""Señor Luther... ¿no?"""
st_055020_0160#0,"""Esta energía... ¿Es un Dark Falz? ¡No me digas que usaste Ephimera para despertar!"""
st_055020_0170#0,"""Haha... Hahahahaha! ¡Nunca abandonaré mi mejor creación! ¡Hasta que haya obtenido la omnisciencia...!"""
st_055020_0180#0,"""¡E-espera!"""
st_055020_0190#0,"""No lo puedo creer... <br>que Luther... <br>sea capas de secuestrar a Harriet así...<br>¿¡Qué acaba de suceder...!?"""
name01#0,"""？？？"""
name02#0,"""？？？"""
