st_064070_0210#0,"""……原來如此、守護輝士的世界裏<br>因爲極悪超人做了不好的事<br>所以發生了各種各樣的大事。"""
st_064070_0220#0,"""這麼說、我們不是完全被牽連了嗎？<br>趕快打倒那個極悪超人。"""
st_064070_0230#0,"""因爲強大到無法打倒<br>所以很困擾。"""
st_064070_0240#0,"""但是、在這個世界也出現了光子族的<br>兵器真是出乎意料。"""
st_064070_0250#0,"""不對不對不對、這不是當然的嗎？<br>因爲這裏就像阿卡西記錄<br>這樣的東西啊。"""
st_064070_0260#0,"""如果是這樣的話、莉莎的世界裏發生的事情<br>即使完全原原不動地發生<br>也不是什麼不可思議的事情吧？"""
st_064070_0270#0,"""因爲和神諭方面取得了時間同步<br>所以也實時受到其影響……"""
st_064070_0280#0,"""現在被神諭記錄的歷史。<br>是說歐米茄再現了那個嗎。"""
st_064070_0290#0,"""雖然不知道有什麼困難<br>不想辦法對付那邊的極惡超人的話<br>這邊也不會安穩吧。"""
st_064070_0300#0,"""總結也有個限度<br>就是這麼回事吧。"""
st_064070_0310#0,"""雖然有點牽強，但也算是相同的命運吧。<br>那麼、做什麼好呢？"""
st_064070_0320#0,"""爲此哈莉艾特桑<br>做了這樣的準備。"""
st_064070_0330#0,"""……我回來了。"""
st_064070_0340#0,"""你回來了、哈莉艾特。<br>那麼、怎麼樣？"""
st_064070_0350#0,"""支撐這個世界的六種靈脈<br>很容易就掌握了五種靈脈。"""
st_064070_0360#0,"""但是、剩下的一個<br>我的力量也無法干涉……<br>只能直接在地上釘楔子了。"""
st_064070_0370#0,"""……我有種不祥的預感。"""
st_064070_0380#0,"""……真巧啊、妖精。<br>我也有同樣的想法。"""
st_064070_0390#0,"""那個地方莫非是……"""
st_064070_0400#0,"""黑繭發生的地方……？"""
st_064070_0410#0,"""……是的。<br>正如推測、那是敵人的集會場所。<br>黑繭發生的地方。"""
st_064070_0420#0,"""正因為是靈脈的中心點<br>才作爲治癒人們的場所成立<br>也被尋求力量的埃里米爾惡意利用。"""
st_064070_0430#0,"""而且現在、那周邊一帶<br>即使擁有神的權能<br>也無法干涉的狀態。"""
st_064070_0440#0,"""也就是說、靠自己的力量推開敵人<br>到達中心、是這樣吧。"""
st_064070_0450#0,"""……這是之前才做的吧。"""
st_064070_0460#0,"""呵呵呵呵呵。<br>要跳到滿是<br>敵人的地方。"""
st_064070_0470#0,"""那個那個那個、是不是可以<br>把敵人擊飛擊飛<br>擊飛擊飛是不是這樣呢？"""
st_064070_0480#0,"""啊、好期待啊。好期待。<br>特等席、最前線好像很好玩哦。"""
st_064070_0490#0,"""……妖精、你沒事吧？<br>大概是很糟糕的感覺<br>不過應該不會朝這邊開槍吧？"""
st_064070_0500#0,"""嗯大概……"""
st_064070_0510#0,"""不要在那裏翻臉！<br>會感到不安的啊！"""
st_064070_0520#0,"""你不用那麼擔心。<br>誤射三発以內不算誤射。"""
st_064070_0530#0,"""那如果不是故意誤射的話<br>再多發也不會誤射吧！"""
st_064070_0540#0,"""是啊、比之前更不安了！<br>如果能讓去維爾恩的劍之巫女<br>回來就好了……！"""
st_064070_0550#0,"""唉唉、煩惱也沒用！<br>就算不想做的話也必須得做了！<br>神王大人的出征！　準備準備！"""
