st_058140_0010#0,"""不可能……！<br>我……竟然輸了……！？<br>比現在更瞭解未來的、我……！"""
st_058140_0030#0,"""你認爲<%me>桑<br>至今為止已經<br>克服了多少困難！"""
st_058140_0040#0,"""即使你是【深遠之暗】……<br>不、你還不及【假面】！"""
st_058140_0060#0,"""把哈莉艾特還給我！"""
st_058140_0070#0,"""哈莉艾特、現在就來救你！"""
st_058140_0090#0,"""不會讓你……這樣做的！"""
st_058140_0110#0,"""唔……呃啊……！"""
st_058140_0120#0,"""……哈哈、哈哈哈！<br>哈哈哈哈哈哈哈！"""
st_058140_0130#0,"""笨---蛋！"""
st_058140_0150#0,"""哎呀。真的、撒。<br>我很爲難啊。"""
st_058140_0160#0,"""拿走容器了……<br>靈魂卻還寄宿在裡面……<br>這個結合出乎意料地強烈……"""
st_058140_0170#0,"""傷腦筋了。我很爲難啊。<br>這時出現的是<br>守護輝士、你這傢伙。"""
st_058140_0180#0,"""謝謝你、斬斷了我。<br>謝謝你把我分開。<br>多虧了你、我才能變回我、撒。"""
st_058140_0190#0,"""……哈莉艾特桑呢！？"""
st_058140_0200#0,"""哈莉艾特？<br>那樣脆弱的靈魂、已經不在了！"""
st_058140_0220#0,"""我不如【仮面】？<br>不如【深遠之暗】？"""
st_058140_0230#0,"""哈哈哈！　那是當然的！<br>因爲這不是<br>我真正的身體！"""
st_058140_0250#0,"""來吧、前輩。<br>現在才是開始正式。<br>讓我們再打一次吧。"""
st_058140_0270#0,"""反応……和至今爲止的黑暗法爾斯<br>比較、差了一個數量級！<br>已經與、【深遠之暗】同等……！"""
st_058140_0280#0,"""那當然了。<br>因爲我就是這樣的。"""
st_058140_0290#0,"""【巨躯】、【若人】、【敗者】、【双子】<br>然後得到【假面】的因子<br>回到了合適的容器裏、我的力量……"""
st_058140_0300#0,"""作爲【深遠之暗】、正確地毀滅世界吧<br>讓光子全部消滅吧。"""
st_058140_0310#0,"""光子的消滅、也就是說<br>阿卡西記錄的消滅、撒。<br>我、要消去宇宙的記憶！"""
st_058140_0320#0,"""快樂的記憶也好悲傷的記憶也好<br>憤怒的記憶也好喜悅的記憶也好<br>毫無区別、讓一切迴歸爲無吧！"""
st_058140_0340#0,"""……我不會讓你這麼做的。"""
st_058140_0360#0,"""哈莉艾特……桑？"""
st_058140_0370#0,"""你……哈莉艾特的、靈魂……！？<br>爲什麼還残留着！應該消失了！<br>事到如今、還要抵抗嗎！"""
st_058140_0380#0,"""……即使這個身體變成异形<br>靈魂也不會變成异形<br>不會。"""
st_058140_0390#0,"""為了守護……最喜歡的世界<br>……這個靈魂是存在的。<br>這顆心、就是為此而生的！"""
st_058140_0400#0,"""哥哥大人。現在我終於明白了。<br>終於找到了。<br>我存在於此的意義。"""
st_058140_0410#0,"""……守護輝士、傳說中的救世之士。<br>新的傳承、請刻在於此！<br>請……請一定！"""
st_058140_0430#0,"""哈莉艾特也一起"""
st_058140_0440#0,"""由你來繼承"""
st_058140_0460#0,"""……啊！<br>守護輝士、你說什麼……！"""
st_058140_0480#0,"""回來失敗的靈魂！<br>失敗的黑暗法爾斯！<br>像你們這樣的人、能做到什麼！"""
st_058140_0490#0,"""世界……宇宙就在這裏消失！<br>擦掉記錄、塗掉！"""
st_058140_0510#0,"""不會讓任何東西消失"""
st_058140_0520#0,"""拯救給你看"""
st_058140_0530#0,"""……同感。<br>被這種程度的存在所抹去<br>實在是太不愉快了。"""
line01#0,"""記錄了到此爲止的任務進度。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
