Title#0,"""EX Solo: Limites de destrucción"""
Explanation#0,"""こちらは相応の実力を持つ者を<br>対象とした特別訓練プログラムである。<br>適時的確な判断を瞬時に下せる技術を<br>身に付けるため、全て「単独」で行い<br>本プログラムを制覇せよ。<br>なお、危険性の高い訓練プログラムのため<br>使用するには、２２時間に１回発行される<br>「エクストリームパス」が必要となる。<br>――――――――――――――――――――<br>Fracaso: Retirarse después de ser incapacitado"""
SimpleExplanation#0,"""Completa 5 niveles!"""
Area0S#0,"""Espacio VR (Extremo) Área"""
Area0L#0,"""Espacio VR (Extremo) Área"""
Area1S#0,"""Espacio VR (Extremo) Área"""
Area1L#0,"""Espacio VR (Extremo) Área"""
Area2S#0,"""Espacio VR (Extremo) Área"""
Area2L#0,"""Espacio VR (Extremo) Área"""
Area3S#0,"""Espacio VR (Extremo) Área"""
Area3L#0,"""Espacio VR (Extremo) Área"""
Area4S#0,"""Espacio VR (Extremo) Área"""
Area4L#0,"""Espacio VR (Extremo) Área"""
QuestInfoAreaName#0,"""Espacio VR (Extremo)"""
a2#0,"""Debes pagar 1 Extreme Pass<br>en el campship."""
