name01#0,"""Karin"""
skit01#0,"""Wow, you sure did a good job! You've managed to complete all of the Stages! We've also got a heap of wonderful data from it!"""
skit02#0,"""Ah, by the way. Next time you do an Extreme Quest, it'll start from the first stage again! Just letting you know! """
skit03#0,"""But in exchange for starting over, we're giving you a ton of Photon Crystals, which you can trade for neat items!"""
skit04#0,"""In any case! You also get to take items corresponding to the amount of Stage Orders you completed!"""
skit05#0,"""Pick whichever items you'd like from the Extreme Terminal. Now then. Good work!"""
skit06#0,"""You'll also get some Photon Boosters, which you can trade for some cool rare items!<br>Try your best next time too, OK!"""
text01#0,"""Karin gave you 4 \""Photon Crystals\""."""
text02#0,"""Karin gave you 2 \""Photon Boosters\""."""
text03#0,"""Karin gave you 3 \""Photon Crystals\""."""
text04#0,"""Karin gave you 15 \""Photon Crystals\""."""
text05#0,"""Karin gave you 60 \""Photon Crystals\""."""
