a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Title#0,"""T:Battleship Infiltration: Enhancer"""
Explanation#0,"""本任務はＶＲ空間にて行う<br>大型敵艦への潜入を想定した訓練である。<br>敵艦最深部を防衛する強敵との戦闘のみに<br>特化した訓練内容となっている。<br>各員の能力を最大限に引き出し<br>強敵を撃破せよ。<br>――――――――――――――――――――<br>最深部に出現するエネミーの撃破でクリア"""
SimpleExplanation#0,"""最深部を目指せ！"""
Area0S#0,"""Interior"""
Area0L#0,"""Enemy Battleship: Interior"""
Area1S#0,"""Central Interior"""
Area1L#0,"""Enemy Battleship: Central Interior"""
NpcComMsg1#0,"""これより、訓練を開始します！<br>本訓練は警備区画を制圧、最深部の<br>動力炉を護る敵の撃破が目的です。"""
NpcComMsg2#0,"""まずは、このエリアに存在する<br>警備区画をすべて制圧し、中枢部への<br>進路を確保してください。"""
NpcComMsg3#0,"""各区画は、私が随時ガイドします！<br>では、訓練スタートです！"""
NpcComMsg1#1,"""これより、動力炉区画への<br>転送を開始します！"""
NpcComMsg2#1,"""今回の目標は<br>動力炉を守る強敵として配置された<br>ギルディナエクゼクルの撃破です。"""
NpcComMsg3#1,"""厳しい戦いが予想されますが<br>皆さんなら、かならず勝利を掴めます！<br>健闘を祈ります！"""
