st_058050_0001#0,"""A.P.242/1/10/11:00"""
st_058050_0010#0,"""블랙홀의 팽창 속도가 점점 빨라지고 있다. 그러니 시간을 멈춰도 피할 수 없는 일이 지연될 뿐... 그건 정말 불공평해요."""
st_058050_0020#0,"""ど、どうするのシャオくん。<br>わたし、何か他のことをしたほうが……"""
st_058050_0030#0,"""いや、術式は維持だ。<br>それがなくなれば、拡大速度は<br>今の比じゃなくなる。"""
st_058050_0040#0,"""……シャオ君。<br>あれ、周囲のフォトンを喰らって<br>大きくなってるで、いいんだよね。"""
st_058050_0050#0,"""どうやらそのようだけど……<br>何を考えているんだい、アルマ。"""
st_058050_0060#0,"""アルマさん？"""
st_058050_0070#0,"""二代目ちゃん。<br>術式展開全部任せちゃうけど<br>いいよね？"""
st_058050_0080#0,"""えっ！"""
st_058050_0090#0,"""大丈夫、こうなったら<br>細かい制御は気にせず<br>全力で展開するだけだから。"""
st_058050_0100#0,"""わたしはちょっと……<br>わたしにしかできないことを<br>やってくるよ。"""
st_058050_0110#0,"""アルマさん！"""
st_058050_0120#0,"""……マトイ！<br>術式を維持するんだ！<br>アルマには考えがあるはず……！"""
st_058050_0130#0,"""でも、アルマさん一人で何を……！"""
st_058050_0140#0,"""……わかってる。<br>わかってるよ。<br>ひとりになんて、させるものか。"""
st_058050_0150#0,"""……<%me>。<br>……みんな、頑張ってる。<br>できることをやろうと頑張ってる。"""
st_058050_0160#0,"""わたしも……あなたを、みんなを<br>守るために、頑張るから……<br>……頑張って！"""
name01#0,"""？？？"""
name02#0,"""？？？"""
