name_7425#0,"""로날딘"""
ssn_014600_0001#0,"""별을 건너는 자인가…<br>보아하니, 실력은 나름 있는 모양이군."""
ssn_014600_0002#0,"""내가 고안한 훈련 메뉴를 권하고 싶은 참이지만…,<br>아직은 이른 것 같군."""
ssn_014600_0003#0,"""더 단련하고 나서 다시 와라.<br>뭐, 그럴 마음이 있다면 말이지만…"""
ssn_014600_0011#0,"""너인가…"""
ssn_014600_0012#0,"""새로운 훈련 메뉴를 권하고 싶은 참이지만…,<br>아직은 이른 것 같군."""
ssn_014600_0013#0,"""더 단련하고 나서 다시 와라."""
ssn_014600_0101#0,"""나는 아크스 상급 훈련 교관 로날딘…<br>리아메이와 마찬가지로, 아크스의 활동을 지원하고 있다…"""
ssn_014600_0102#0,"""널 위해 훈련 메뉴를 준비했다.<br>어떤가, 받아 보겠나…?"""
ssn_014600_0103#0,"""…하지만, 충고 하나 하자면 내 훈련은 호락호락하지 않다.<br>도중에 리타이어하는 사람들도 많지…"""
ssn_014600_0104#0,"""어중간한 마음가짐으로는, 어려울 거다…"""
ssn_014600_0151#0,"""왔군…"""
ssn_014600_0152#0,"""보아하니,<br>단련은 게을리하지 않은 것 같군…"""
ssn_014600_0153#0,"""널 위해 훈련 메뉴를 준비했다.<br>어떤가, 받아 보겠나…?"""
ssn_014600_0154#0,"""…하지만, 내 훈련은 호락호락하지 않다."""
ssn_014600_0155#0,"""어중간한 마음가짐으로는, 어려울 거다…"""
ssn_014600_0201#0,"""내 훈련은 호락호락하지 않다.<br>도중에 리타이어하는 사람들도 많지…"""
ssn_014600_0202#0,"""어중간한 마음가짐으로는, 어려울 거다…"""
ssn_014600_0251#0,"""내 훈련은 호락호락하지 않다…"""
ssn_014600_0252#0,"""어중간한 마음가짐으로는, 어려울 거다…"""
ssn_014600_0301#0,"""훌륭하군. 이렇게까지 해내다니…<br>솔직히, 감탄했다."""
ssn_014600_0401#0,"""훌륭하군. 이렇게까지 해내다니…"""
ssn_014600_0302#0,"""그 재능…,<br>어쩌면 가로아에 필적할지도 모르겠군."""
ssn_014600_0303#0,"""후후…, 좋은 걸 보여줬군.<br>앞으로도 그 실력을 계속 갈고닦아 줘…"""
ssn_014600_0304#0,"""나도 더 알찬 훈련 메뉴를 짜 두도록 하지.<br>기대하고 있어라."""
