name_7615#0,"""디노"""
ssn_014670_0001#0,"""안녕, 센트럴 시티에는 좀 익숙해졌어?"""
ssn_014670_0002#0,"""여긴 우리가 자주 오는 곳이야.<br>음료도 맛있고, 느긋하게 있을 수 있으니까."""
ssn_014670_0101#0,"""하아…<br>갖고 싶은 아이템이 있는데, 좀처럼 구할 수가 없네…"""
ssn_014670_0102#0,"""\""마이 샵\""에 올라와 있으면 좋을 텐데."""
ssn_014670_0103#0,"""그러고 보니 너, \""마이 샵\""에는 가 봤어?"""
ssn_014670_0104#0,"""편리한 곳이거든. 가르쳐 줄까?"""
ssn_014670_0201#0,"""\""마이 샵\""은 아크스들이<br>아이템을 사고팔 수 있는 가상공간의 상점이야."""
ssn_014670_0202#0,"""시험 삼아 들러 보는 게 어때?<br>재밌는 물건을 찾을 수도 있으니까."""
ssn_014670_0301#0,"""응, 그래.<br>마음 내키면 또 와."""
ssn_014670_0401#0,"""도착했나 보네."""
ssn_014670_0402#0,"""뜻밖의 물건을 건질지도 몰라.<br>그럼, 쇼핑 재밌게 하고 와."""
ssn_014670_0501#0,"""마이 샵에는 들르고 있어?"""
ssn_014670_0502#0,"""뜻밖의 물건을 건질지도 모르니까,<br>자주 들러 보는 게 좋을 거야."""
