name_7656#0,"""세그렛트"""
ssn_013030_0001#0,"""처음 뵙겠습니다… 만나게 되어서 기뻐요."""
ssn_013030_0002#0,"""앞으로 잘 부탁드립니다…"""
ssn_013030_0101#0,"""무기의 \""잠재 능력\""…<br>알고 계신가요…?"""
ssn_013030_0102#0,"""혹시 모르신다면… 알려드릴까요…?"""
ssn_013030_0201#0,"""그런가요…<br>흥미가 생기면… 다시 말 걸어주세요…"""
ssn_013030_0301#0,"""각 무기에는…<br>숨겨진 능력이… 있어요…"""
ssn_013030_0302#0,"""촉매가 되는 소재를 써서… 무기를 가공하면…<br>그 힘… 잠재 능력을… 해방할 수 있어요…"""
ssn_013030_0303#0,"""하지만… 잠재 능력을 해방하려면…<br>포톤의 \""광석\""이… 필요해요…"""
ssn_013030_0304#0,"""이번에는 제가 가진 걸 드릴게요…<br>그걸 가지고… 아이템 랩에 가보세요…"""
ssn_013030_0401#0,"""잠재 능력… 해방해 보니 어떠셨나요…?"""
ssn_013030_0402#0,"""손에 넣은 무기와…<br>촉매의 \""광석\""…"""
ssn_013030_0403#0,"""어떤 무기에… 어떤 능력이…<br>숨겨져 있을까요…"""
ssn_013030_0404#0,"""…이것저것<br>시험해 봐 주세요…"""
