name_7201#0,"""소뮤아"""
ssn_005010_0001#0,"""이 센트럴 시티는,<br>돌즈와의 전투에서 중요한 거점입니다."""
ssn_005010_0002#0,"""많은 아크스가 모여 있으니,<br>적극적으로 교류해 보세요."""
ssn_005010_0051#0,"""그 코쿤을 찾는 데 편리한 방법이 있는데,<br>괜찮으시다면 알려 드릴까요?"""
ssn_005010_0052#0,"""그럼 설명해 드리겠습니다."""
ssn_005010_0101#0,"""코쿤에 대해서는 알고 계시죠?<br>맞습니다. 아크스가 훈련을 하는 시설입니다."""
ssn_005010_0102#0,"""코쿤을 찾을 때는 마그 기능 중 하나인<br>\""액티브 소나\""를 사용하면 찾기 쉬워요."""
ssn_005010_0103#0,"""소나는 코쿤 등에 가까워지면 음파를 내보내<br>그 위치를 알려 줍니다."""
ssn_005010_0104#0,"""지금 제가 알고 있는 코쿤의 위치를,<br>그쪽 마그에 전송했습니다."""
ssn_005010_0105#0,"""소나 기능을 확인하는 김에,<br>코쿤에서 실력도 한번 시험해 보세요."""
ssn_005010_0106#0,"""그럼 다녀오세요."""
ssn_005010_0201#0,"""수고하셨습니다.<br>액티브 소나의 기능은 체감하셨나요?"""
ssn_005010_0202#0,"""적극적으로 활용해서,<br>코쿤에서 스킬 업을 목표로 해 보세요."""
ssn_005010_0203#0,"""힘내세요."""
ssn_005010_0301#0,"""그렇군요…….<br>알고 싶어지시면 다시 와 주세요."""
