name_7713#0,"""라스터"""
ssn_014510_0001#0,"""도와주셔서 정말 감사드려요.<br>두 사람한테는 마음대로 돌아다니지 말라고 얘기해 뒀어요."""
ssn_014510_0002#0,"""하지만, 그런 통신장애가<br>자주 일어나면 성가시겠죠."""
ssn_014510_0003#0,"""기기의 성능을 올리는 방법 같은 걸 생각해야겠네요……."""
ssn_014510_0101#0,"""이야기 들었어요. 굉장한 활약이던데요?<br>그 레누스 리템을 쓰러트리다니."""
ssn_014510_0102#0,"""그런 당신에게<br>한 가지 부탁드리고 싶은 게 있어요."""
ssn_014510_0103#0,"""그렇게 어려운 일은 아니니 괜찮아요.<br>받아주실 수 있나요?"""
ssn_014510_0201#0,"""빨간색 컨테이너의 내용물을 확인해 주셨으면 해요."""
ssn_014510_0202#0,"""수는, 그렇죠……, 많을수록 좋아요.<br>하고, 리템에 있는 것만 봐 주시면 돼요."""
ssn_014510_0203#0,"""데이터가 충분히 모이면, 다시 여기로 와 주세요.<br>부탁드릴게요."""
ssn_014510_0301#0,"""그렇군요. 상황이 여의치 않으시다고…….<br>그럼, 다음 기회에."""
ssn_014510_0401#0,"""어서 오세요.<br>생각보다 빨리 오셨네요. 역시 굉장하세요."""
ssn_014510_0402#0,"""감사합니다. 데이터도 제대로 수신됐어요.<br>이걸로 흔적이나 법칙이 발견되면 좋을텐데……."""
ssn_014510_0403#0,"""그럼 바로 해석에 들어갈게요.<br>어떤 결과가 나올지 기대되네요."""
ssn_014510_0501#0,"""수신받은 데이터로<br>빨간 컨테이너의 비밀을 알아내는 중이에요."""
ssn_014510_0502#0,"""하지만 아직 의문점이 많이 있네요.<br>설치된 시기만이라도 알 수 있으면 좋을텐데요……."""
