name_7717#0,"""비버리"""
ssn_014620_0001#0,"""내 친구 중에, 늘 지붕 위에 올라가 있는 녀석이 있거든.<br>전망이 좋다나 봐."""
ssn_014620_0002#0,"""입구 반대편 쪽으로 가면 올라갈 수 있다던데,<br>난 사양할래."""
ssn_014620_0003#0,"""왜냐고…? 그야…<br>무서워서 그렇지!"""
ssn_014620_0101#0,"""저기 말이야, 여기서 북동쪽으로 가면 엄청 큰 건물이 있잖아?<br>꼭대기가 뾰족한 저거 말이야."""
ssn_014620_0102#0,"""저게 뭔지 알아?"""
ssn_014620_0103#0,"""저건 \""트리니테스\""라고 하는<br>특별한 트레이니아라더라."""
ssn_014620_0104#0,"""실력 시험 삼아 한 번 가 보는 게 어때?<br>뭐, 어중간한 각오로는 안 가는 게 낫겠지만."""
ssn_014620_0201#0,"""어?\u3000우리는 안 가냐고?"""
ssn_014620_0202#0,"""그래. 우린 사양할래."""
ssn_014620_0203#0,"""왜냐고…? 그야…<br>무서워서 그렇지!"""
ssn_014620_0301#0,"""어, 안 가게?<br>그럼 나중에 시간 날 때 봐~"""
ssn_014620_0401#0,"""오오! 역시 너, 대단하네!<br>진짜 멋졌어~"""
ssn_014620_0402#0,"""널 본받아서 우리도 힘내야지.<br>언젠가 저기서 훈련할 수 있게 되고 싶어."""
ssn_014620_0501#0,"""…어?\u3000이미 트리니테스에 갔었어?<br>뭐야, 진작 말해 주지~"""
ssn_016420_0601#0,"""그래도 역시 대단하네~<br>널 보고 우리도 힘내야지."""
ssn_014620_0602#0,"""언젠가 저기서 훈련할 수 있게 되고 싶어."""
