name_7009#0,"""오란제"""
ssn_014050_0001#0,"""아크스로서 꽤 많이 경험을 쌓으신 것 같네요."""
ssn_014050_0002#0,"""그런 당신에게 한 가지 부탁드리고 싶은 게 있는데,<br>들어주시겠어요?"""
ssn_014050_0101#0,"""후훗… 의뢰를 받아 주셔서<br>감사해요."""
ssn_014050_0102#0,"""사실 요즘, 레졸의 숲에서<br>이제껏 없었던 파장의 전파가 확인되고 있어요."""
ssn_014050_0103#0,"""그 전파가 주변 돌즈에게<br>어떤 영향을 주고 있는 걸로 추정되어서요."""
ssn_014050_0104#0,"""아직 정보가 부족해 자세히는 말씀드리기 어렵지만….<br>조사를 도와주실 수 있나요?"""
ssn_014050_0105#0,"""전파를 받은 돌즈와 교전기록을 만들어 주셨으면 해요.<br>그러면 뭔가를 알 수 있을지도 몰라요."""
ssn_014050_0106#0,"""부탁드릴게요."""
ssn_014050_0201#0,"""유감이네요…<br>마음이 바뀌면, 다시 와 주세요."""
ssn_014050_0301#0,"""성실하게 임무에 임하시는 건 좋지만,<br>너무 무리하지는 말아요."""
ssn_014050_0302#0,"""위험하다 싶으면<br>자신의 안전을 최우선으로 해 주세요."""
ssn_014050_0401#0,"""굉장히 위험한 임무이니, 준비를 단단히 해 주세요."""
ssn_014050_0402#0,"""브루더를 부탁드려요.<br>여러분이 무사히 귀환하시길 바랄게요."""
ssn_014050_0105_01#0,"""전파를 받고 있는 돌즈와의 교전 기록을 제공해 주세요.<br>그러면 뭔가 알 수 있을지도 모르니까요."""
