name_7418#0,"""스로나"""
ssn_012010_0001#0,"""센트럴 시티에 어서오세요."""
ssn_012010_0002#0,"""여기는 많은 아크스들이 살고있어요.<br>물론 \""별을 건너는 자\""들도 많이 있어요."""
ssn_012010_0003#0,"""시설도 다양하게 있으니까 꼭 둘러보세요."""
ssn_012010_0101#0,"""브루더씨에게 이야기는 들었어요.<br>기다리고 있었답니다."""
ssn_012010_0102#0,"""제가 알고 있는 것들을 알려 드릴게요."""
ssn_012010_0103#0,"""\""리전마그\""에 대해서인데…<br>이미 알고 계신가요?""
ssn_012010_0104#0,"""그럼 설명할게요."""
ssn_012010_0105#0,"""각지에 설치되어 있는 거대한 마그의 모습을 한 것을<br>저희들은 리전마그라고 부르고 있어요."""
ssn_012010_0106#0,"""리전 마그에 아이템 같은 것들을 주게되면<br>\""좋은 일\""이 일어난다고 하죠."""
ssn_012010_0107#0,"""발견하게 된다면 당신도 꼭 시험해보세요."""
ssn_012010_0201#0,"""…그렇군요. 그럼 다음 기회에."""
