ssc_501100_0010#0,"""응?<br>앗, <%me>!"""
ssc_501100_0020#0,"""무슨 일이야? 이런 곳에서."""
ssc_501100_0030#0,"""휴식 중?"""
ssc_501100_0040#0,"""잠깐 쉬고 있었어."""
ssc_501100_0050#0,"""응.<br>여기가 쉬기 딱 좋은 곳 같아서 말야."""
ssc_501100_0060#0,"""……스티아는 정말 엄청난 곳이야."""
ssc_501100_0070#0,"""딱딱한 바위만 있고,<br>풀이나 나무는 거의 자라지도 않고."""
ssc_501100_0080#0,"""주변에는 돌즈만 가득해."""
ssc_501100_0090#0,"""옛날의 나였다면<br>단 하루도 못 버텼을 것 같아."""
ssc_501100_0100#0,"""하지만 너희들과 함께,<br>어떻게든 버텨낼 수 있었어."""
ssc_501100_0110#0,"""나도 조금은 강해졌어<br>……라고 할 수 있을까?"""
ssc_501100_0120#0,"""아이나는 강해졌어."""
ssc_501100_0130#0,"""아직 노력이 필요해."""
ssc_501100_0140#0,"""정말?<br>네가 그렇게 말해주니 기뻐."""
ssc_501100_0150#0,"""으음.<br>네가 그렇게 말해주니 뭐라 할 말이 없네……."""
ssc_501100_0160#0,"""최근에는<br>다시 마논의 일지를 자주 읽고 있어."""
ssc_501100_0170#0,"""특히 에너미에 대해<br>정리해 놓은 부분을."""
ssc_501100_0180#0,"""어떤 적들이 어떤 움직임을 하는지,<br>언제 빈 틈이 생기는지."""
ssc_501100_0190#0,"""예전에는 그냥 대충 읽고<br>대충 이해하고 있다고 생각했었는데……。"""
ssc_501100_0200#0,"""지금은 제대로 기억해서<br>실전에서 활용할 수 있도록 노력하고 있어."""
ssc_501100_0210#0,"""그러다 보니<br>점점 이해가 되더라고."""
ssc_501100_0220#0,"""이럴 때 마논이라면<br>이렇게 했겠구나, 라거나"""
ssc_501100_0230#0,"""이럴 때 마논이라도<br>곤란해하지 않을까, 라든가."""
ssc_501100_0240#0,"""그러다 보니<br>나 같으면 어떻게 하지? 라고 생각하게 되면서……."""
ssc_501100_0250#0,"""조금씩 나 답게 싸우는 방법이<br>보이기 시작했어."""
ssc_501100_0260#0,"""기초를 배우고 난 뒤에 응용을 한다."""
ssc_501100_0270#0,"""뭐든지 모방부터 시작한다."""
ssc_501100_0280#0,"""응.<br>다양한 전투 방식을 시도해보고 있어."""
ssc_501100_0290#0,"""정답이 하나만 있는 게 아니라는 걸<br>깨닫게 됐으니까."""
ssc_501100_0300#0,"""아, 그거.<br>아빠도 말했었어."""
ssc_501100_0310#0,"""그렇구나……<br>그런 거였구나."""
ssc_501100_0320#0,"""이제야 알겠어."""
ssc_501100_0330#0,"""……마논에게 많은 도움을 받았으니까,<br>언젠가 보답하고 싶어."""
ssc_501100_0340#0,"""물론 너에게도."""
ssc_501100_0350#0,"""그러기 위해서는 더 열심히 노력해서<br>두 사람을 따라잡아야지……."""
ssc_501100_0360#0,"""좋아!<br>휴식 끝!"""
ssc_501100_0370#0,"""새로운 전투 방법을 생각해 냈으니까<br>한번 시도해 볼게."""
ssc_501100_0380#0,"""그럼 또 보자!"""
