11_voice_NPC_5437_100#0,"""<%me>! I have something to say to you! Rather, I have something to give you! That's it!"""
favs_after_010#0,"""I owe you so so so so so so much for everything, so this... this is just a bit of thanks!"""
favs_after_020#0,"""Oh. Oh! Um, if you don't want it, you can just throw it away! You can even throw it away right now if you want!"""
favs_after_030#0,"""But if it isn't a bother--if you accept this gift, I would be... I would be very happy! Yes!"""
favs_present_010#0,"""Received \""Grinder\"" from Stratos."""
favs_present_020#0,"""Received \""Synthesizer\"" from Stratos."""
favs_present_030#0,"""Received \""Photon Sphere\"" from Stratos."""
favs_present_040#0,"""Received \""Excube\"" from Stratos."""
favs_present_050#0,"""Received \""Lambda Grinder\"" from Stratos."""
favs_present_060#0,"""Received \""Triboost+50%\"" from Stratos."""
favs_present_070#0,"""Received \""Great Success Grind Rate+50%\"" from Stratos."""
favs_present_080#0,"""Received \""Lambda Grinder x3\"" from Stratos."""
favs_present_090#0,"""Received \""Ability Success Rate+30%\"" from Stratos."""
favs_present_100#0,"""Received \""Triboost+100%\"" from Stratos."""
favs_present_add_001#0,"""Received \""<%skit_text>\"" from Stratos."""
11_voice_NPC_5437_104#0,"""Good to see you-- What?! You're asking me what I'm giving out for Valentines?!"""
11_voice_NPC_5437_106#0,"""C-c-c-could you possibly... want to receive chocolates from me?! I... I'm deeply honored!"""
Oku_01_030#0,"""Huh?<br>You're just doing a survey about Valentines gift giving, you say? Of... of course you are! J-jeez, how silly of me!"""
11_voice_NPC_5437_105#0,"""Ahem, right, well. If it was me... I'd give out something edible like chocolate. Eating food gives energy!"""
Oku_01_050#0,"""I've never actually given any chocolate out before, though... But, but this year I definitely will!"""
Hyui_01_010#0,"""<%me>さん、こんにちは！<br>はい、私に何かご用でしょうか？"""
Hyui_01_020#0,"""この戦闘記録を見て、教わる側の<br>私の意見が欲しい……ですか？<br>はい、私でよろしければ！"""
11_voice_NPC_5437_101#0,"""弱点をついた敵の倒し方、ですか。<br>なるほど、こうしてまとめて見ると<br>分かりやすいですね！"""
Hyui_01_040#0,"""数多くいる敵たちの弱点を<br>うまく覚える方法を悩んでいたんです。<br>もしかして、ご存じだったとか……"""
Hyui_01_050#0,"""って、そんなわけないですね！<br>戦闘記録、とても参考になりました。<br>恐縮です！"""
11_voice_NPC_5437_100#1,"""I know it's busy this time of year, but please, if you get the time, try out this new class!"""
sq01_010#0,"""<%me>さん！<br>私は作戦に直接参加はしなかったですが<br>顛末は司令から聞いています。"""
sq01_020#0,"""大変なご苦労をされたとのことで……<br>それでもきちんと帰還される。<br>流石です！\u3000あこがれます！"""
sq02_010#0,"""<%me>さん！<br>ヒーロー、体験していただいてますか？<br>おかげさまで好評な感じです！"""
sq02_020#0,"""やっぱりこう、最前線で戦う方に<br>試していただけると、広まり方や<br>認知度が段違いですね！"""
sq02_030#0,"""本当に頭が上がりません！<br>恐縮です！\u3000はい！"""
sq04_010#0,"""私は、誰かの力になれるような<br>そんな人を目指しているんです！"""
sq04_020#0,"""そのための努力は惜しみません！<br>クラス名の通り、みんなのヒーローに<br>なれるように頑張ります！"""
sq04_030#0,"""だから、これからもご指導ご鞭撻<br>よろしくお願いします！"""
11_voice_NPC_5437_100#2,"""<%me>さんをはじめ<br>アークスの先輩方に協力いただいて<br>ヒーローを広めようと尽力中です！"""
sq06_020#0,"""おかげで、先輩方の経験も聞けて<br>私自身の成長にも繋がっている！<br>一石二鳥です！\u3000……多分！"""
